split_id,network_auc_baseline,network_auc_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
18,1.0,0.875,1.0,0.6879338026046753,berechnet,-0.125,5,"[0.018207767978310585, 0.011585108004510403, 0.008325028233230114, 0.009207738563418388, 0.015022246167063713]",4,0.015022246167063713,27.82289150499855
19,0.5,0.875,1.0,1.2103379964828491,berechnet,0.375,5,"[0.03182590380311012, 0.0112534174695611, 0.018177753314375877, 0.042869988828897476, 0.02329220250248909]",1,0.0112534174695611,31.80585864600289
20,0.75,1.0,1.0,3.3755396604537964,berechnet,0.25,5,"[0.03936241194605827, 0.031970009207725525, 0.011201519519090652, 0.018316468223929405, 0.03297201171517372]",3,0.018316468223929405,45.01237435299845
21,0.625,0.5,0.75,0.9426940083503723,berechnet,-0.125,5,"[0.012684045359492302, 0.01846456341445446, 0.006082247477024794, 0.011049147695302963, 0.008466020226478577]",4,0.008466020226478577,28.860658006997255
22,0.625,1.0,1.0,0.7763746976852417,berechnet,0.375,5,"[0.015143957920372486, 0.045552805066108704, 0.01385815441608429, 0.013284377753734589, 0.01348226610571146]",1,0.045552805066108704,30.77063712900417
23,0.625,0.375,0.5,0.15040525794029236,berechnet,-0.25,5,"[0.013175124302506447, 0.011972797103226185, 0.01413433626294136, 0.02307594008743763, 0.02385121025145054]",3,0.02307594008743763,25.689237687998684
24,1.0,1.0,0.875,0.33167749643325806,berechnet,0.0,3,"[0.032902833074331284, 0.007232774049043655, 0.017333989962935448]",0,0.032902833074331284,27.333095574002073
25,0.875,0.625,0.75,1.847074270248413,berechnet,-0.25,5,"[0.00816846638917923, 0.02811063639819622, 0.06272710859775543, 0.01768130622804165, 0.05356050655245781]",4,0.05356050655245781,41.867844490996504
26,0.875,0.75,0.75,0.2758391201496124,berechnet,-0.125,5,"[0.009765885770320892, 0.006912693846970797, 0.020807307213544846, 0.012703932821750641, 0.015423125587403774]",2,0.020807307213544846,28.65887390900025
27,0.75,0.75,0.5,0.014882352203130722,berechnet,0.0,5,"[0.01016161683946848, 0.014773734845221043, 0.008758153766393661, 0.008778249844908714, 0.011337230913341045]",1,0.014773734845221043,25.132985095995537
28,1.0,1.0,1.0,0.7088245153427124,berechnet,0.0,3,"[0.03524238243699074, 0.01393799763172865, 0.013891571201384068]",2,0.013891571201384068,26.98041946000012
29,1.0,1.0,1.0,3.5518020391464233,berechnet,0.0,4,"[0.012111848220229149, 0.027449380606412888, 0.009251735173165798, 0.007714681327342987]",0,0.012111848220229149,26.629518390000158
30,0.875,0.5,0.75,0.12011044472455978,berechnet,-0.375,5,"[0.00880479346960783, 0.00874760840088129, 0.011613809503614902, 0.0088966591283679, 0.011463823728263378]",4,0.011463823728263378,20.021318138002243
31,0.875,0.5,0.5,0.48644208908081055,berechnet,-0.375,4,"[0.010954254306852818, 0.008706753142178059, 0.026599086821079254, 0.023424891754984856]",2,0.026599086821079254,26.46828887599986
32,1.0,0.625,0.625,0.4038088321685791,berechnet,-0.375,5,"[0.150685653090477, 0.03615656495094299, 0.030145499855279922, 0.004757093731313944, 0.04771016910672188]",4,0.04771016910672188,29.247635864994663
33,0.75,1.0,0.75,1.1488049030303955,berechnet,0.25,5,"[0.024305306375026703, 0.029041307047009468, 0.022558532655239105, 0.02386331930756569, 0.016372771933674812]",1,0.029041307047009468,37.08427427699644
34,0.875,0.5,0.625,0.19033101201057434,berechnet,-0.375,3,"[0.012702718377113342, 0.008381284773349762, 0.0084972670301795]",1,0.008381284773349762,18.257486219001294
35,0.875,1.0,0.125,-0.25765159726142883,berechnet,0.125,4,"[0.012097290717065334, 0.006458727177232504, 0.04868380352854729, 0.029678333550691605]",2,0.04868380352854729,20.120239464995393
36,0.875,0.75,1.0,3.1467814445495605,berechnet,-0.125,3,"[0.009855289943516254, 0.08943741768598557, 0.023641645908355713]",2,0.023641645908355713,38.91475868600537
37,1.0,0.75,0.875,0.5023500919342041,berechnet,-0.25,3,"[0.008919771760702133, 0.014446718618273735, 0.018133122473955154]",1,0.014446718618273735,24.4717035079957
38,0.375,1.0,0.75,0.08480450510978699,berechnet,0.625,5,"[0.019176244735717773, 0.011838607490062714, 0.008314598351716995, 0.032892290502786636, 0.010006033815443516]",4,0.010006033815443516,28.511038338998333
39,0.875,0.75,1.0,0.37740588188171387,berechnet,-0.125,5,"[0.02334512770175934, 0.026643550023436546, 0.02497311308979988, 0.047302622348070145, 0.027755970135331154]",0,0.02334512770175934,35.992028639004275
40,0.375,0.75,0.375,-0.03610789775848389,berechnet,0.375,3,"[0.0164133682847023, 0.009153662249445915, 0.020558662712574005]",0,0.0164133682847023,23.97526913299953
41,0.5,0.875,0.375,-0.036578379571437836,berechnet,0.375,3,"[0.01468734722584486, 0.033944372087717056, 0.015761857852339745]",2,0.015761857852339745,33.2905244959984
42,0.625,0.75,1.0,1.322135329246521,berechnet,0.125,4,"[0.025107471272349358, 0.01926686428487301, 0.027591142803430557, 0.022385980933904648]",2,0.027591142803430557,56.44208095399517
43,0.875,1.0,0.875,2.817448854446411,berechnet,0.125,5,"[0.015356680378317833, 0.021981550380587578, 0.013580355793237686, 0.008684688247740269, 0.024292586371302605]",2,0.013580355793237686,30.138589878995845
44,0.5,0.875,1.0,0.9659653902053833,berechnet,0.375,5,"[0.006499547977000475, 0.00866636447608471, 0.02491402067244053, 0.035805895924568176, 0.07686600834131241]",2,0.02491402067244053,35.456459157998324
45,1.0,0.25,0.5,-0.054441869258880615,berechnet,-0.75,5,"[0.00892632082104683, 0.012886691838502884, 0.009232833050191402, 0.010066010989248753, 0.010219535790383816]",2,0.009232833050191402,23.192067836003844
46,1.0,0.625,0.75,0.7542769908905029,berechnet,-0.375,3,"[0.08974634110927582, 0.028339432552456856, 0.008193038403987885]",0,0.08974634110927582,34.53854110799875
47,0.75,0.625,0.625,0.511650562286377,berechnet,-0.125,4,"[0.06958302110433578, 0.06652527302503586, 0.02676655910909176, 0.0841592475771904]",0,0.06958302110433578,31.169319485001324
48,0.75,0.25,0.5,0.0020120739936828613,berechnet,-0.5,5,"[0.008785675279796124, 0.008898068219423294, 0.010559318587183952, 0.008736703544855118, 0.011691449210047722]",4,0.011691449210047722,23.889054332998057
49,0.625,0.625,0.625,0.3537869453430176,berechnet,0.0,5,"[0.09209989011287689, 0.14722609519958496, 0.019286300987005234, 0.00837050098925829, 0.05400223657488823]",3,0.00837050098925829,43.389679874999274
50,0.75,1.0,1.0,0.4312576800584793,berechnet,0.25,3,"[0.012641293928027153, 0.00746202701702714, 0.01255161501467228]",2,0.01255161501467228,28.77732886600279
51,1.0,0.5,0.25,-0.008047223091125488,berechnet,-0.5,3,"[0.01148171816021204, 0.008767100051045418, 0.011450635269284248]",1,0.008767100051045418,30.10934268299752
52,1.0,1.0,0.75,0.2108806073665619,berechnet,0.0,5,"[0.012837272137403488, 0.010421263985335827, 0.012706791050732136, 0.00959698110818863, 0.015521831810474396]",1,0.010421263985335827,32.14850551100244
53,1.0,1.0,0.875,0.10580933094024658,berechnet,0.0,5,"[0.08030258119106293, 0.02903519943356514, 0.034153081476688385, 0.06801272928714752, 0.0404682457447052]",0,0.08030258119106293,65.12135079799918
54,0.25,0.625,0.75,0.8866190910339355,berechnet,0.375,4,"[0.008830845355987549, 0.039083223789930344, 0.008223685435950756, 0.019826442003250122]",0,0.008830845355987549,38.96559834800428
55,1.0,0.875,1.0,4.893115997314453,berechnet,-0.125,3,"[0.011985511519014835, 0.05782075226306915, 0.09528028219938278]",0,0.011985511519014835,53.238275365001755
56,0.75,0.875,1.0,3.407870292663574,berechnet,0.125,5,"[0.008484140038490295, 0.06650470942258835, 0.036895424127578735, 0.011432153172791004, 0.020383039489388466]",4,0.020383039489388466,32.65901596999902
57,0.875,0.875,0.75,0.04817040264606476,berechnet,0.0,5,"[0.01656281389296055, 0.061143167316913605, 0.0280262790620327, 0.017648257315158844, 0.01459557469934225]",2,0.0280262790620327,47.9190252949993
58,1.0,1.0,1.0,1.2103550434112549,berechnet,0.0,4,"[0.03504094481468201, 0.013868218287825584, 0.0013461123453453183, 0.005911223124712706]",0,0.03504094481468201,33.77723074200185
59,0.75,0.75,0.75,0.4378826320171356,berechnet,0.0,4,"[0.0156217897310853, 0.00683899549767375, 0.01564236544072628, 0.016418179497122765]",0,0.0156217897310853,24.991684508000617
60,0.75,0.625,0.625,0.37369823455810547,berechnet,-0.125,5,"[0.008603032678365707, 0.01220449898391962, 0.009869487024843693, 0.00815980602055788, 0.012512237764894962]",3,0.00815980602055788,25.91261290699913
61,0.625,0.625,1.0,5.16472315788269,berechnet,0.0,5,"[0.03301668539643288, 0.04351520910859108, 0.025997838005423546, 0.024682052433490753, 0.015988629311323166]",2,0.025997838005423546,58.58558444799564
62,1.0,0.75,0.625,0.8703302145004272,berechnet,-0.25,4,"[0.03545195981860161, 0.007037179544568062, 0.018601922318339348, 0.014009224250912666]",0,0.03545195981860161,30.08103142499749
63,0.875,0.75,0.75,0.1803746223449707,berechnet,-0.125,3,"[0.02091892622411251, 0.007830045185983181, 0.019385581836104393]",0,0.02091892622411251,25.484950492995267
64,0.875,0.625,0.375,-6.402842700481415e-05,berechnet,-0.25,3,"[0.04175622761249542, 0.030229218304157257, 0.021037526428699493]",2,0.021037526428699493,41.230407268994895
65,1.0,0.0,0.0,-0.10942831635475159,berechnet,-1.0,3,"[0.010560997761785984, 0.009060344658792019, 0.010839619673788548]",0,0.010560997761785984,25.345794720000413
66,1.0,1.0,0.875,0.6608381867408752,berechnet,0.0,4,"[0.03732062503695488, 0.02804325707256794, 0.01149205956608057, 0.02685512788593769]",1,0.02804325707256794,33.107719065999845
67,0.875,1.0,1.0,2.9314955472946167,berechnet,0.125,3,"[0.027938557788729668, 0.04543689638376236, 0.015287435613572598]",2,0.015287435613572598,48.02356250199955
68,0.75,0.75,0.75,1.250268042087555,berechnet,0.0,3,"[0.004895483609288931, 0.002539982320740819, 0.03164193034172058]",1,0.002539982320740819,33.19103475999873
69,0.75,0.5,0.75,0.670407772064209,berechnet,-0.25,3,"[0.1574278473854065, 0.008279914036393166, 0.024717194959521294]",2,0.024717194959521294,35.279150285998185
70,0.625,0.875,0.75,0.5565613508224487,berechnet,0.25,3,"[0.014085283502936363, 0.00560730742290616, 0.011530730873346329]",0,0.014085283502936363,30.872143371001584
71,0.75,0.75,1.0,1.6034765243530273,berechnet,0.0,4,"[0.02453913539648056, 0.03113098442554474, 0.028007935732603073, 0.019128156825900078]",3,0.019128156825900078,41.73283093200007
72,0.875,1.0,1.0,5.178388833999634,berechnet,0.125,5,"[0.13621190190315247, 0.015716111287474632, 0.017854424193501472, 0.008657198399305344, 0.00884910300374031]",1,0.015716111287474632,36.55008927099698
73,0.75,0.625,0.75,0.451371431350708,berechnet,-0.125,5,"[0.012890052981674671, 0.011803032830357552, 0.01671665348112583, 0.008224771358072758, 0.008801689371466637]",0,0.012890052981674671,32.595230767998146
74,0.5,1.0,0.375,0.0072977542877197266,berechnet,0.5,4,"[0.00518820621073246, 0.04212627932429314, 0.021323971450328827, 0.03881845995783806]",2,0.021323971450328827,42.46988643500663
75,0.875,0.25,0.0,-0.07863801717758179,berechnet,-0.625,4,"[0.008937915787100792, 0.008909248746931553, 0.012380845844745636, 0.008781448937952518]",3,0.008781448937952518,21.04005086699908
76,1.0,0.75,0.75,0.5166547894477844,berechnet,-0.25,3,"[0.012412054464221, 0.02119683474302292, 0.03460094705224037]",2,0.03460094705224037,29.65225310900132
77,0.875,0.875,1.0,0.329464316368103,berechnet,0.0,4,"[0.007621751166880131, 0.027801955118775368, 0.030343282967805862, 0.08914010971784592]",3,0.08914010971784592,24.564227648006636
78,1.0,0.75,0.75,0.1994885802268982,berechnet,-0.25,5,"[0.006889252457767725, 0.013934873044490814, 0.010071062482893467, 0.011051108129322529, 0.008276735432446003]",0,0.006889252457767725,21.833482318994356
79,1.0,0.5,0.5,0.024990469217300415,berechnet,-0.5,3,"[0.009092182852327824, 0.009368488565087318, 0.009460017085075378]",1,0.009368488565087318,18.188824300996203
80,0.625,0.625,0.5,0.004198737442493439,berechnet,0.0,4,"[0.011607286520302296, 0.00877553690224886, 0.008765890263020992, 0.008912283927202225]",1,0.00877553690224886,22.780774192993704
81,0.75,0.375,0.375,-0.19994047284126282,berechnet,-0.375,5,"[0.017380673438310623, 0.014649427495896816, 0.01899729296565056, 0.009766411036252975, 0.021435720846056938]",2,0.01899729296565056,48.39442882900039
82,1.0,0.5,0.625,0.15674251317977905,berechnet,-0.5,5,"[0.024613121524453163, 0.05335042253136635, 0.012147525325417519, 0.015882344916462898, 0.007200499996542931]",2,0.012147525325417519,33.81146905899368
83,1.0,1.0,1.0,3.524199962615967,berechnet,0.0,3,"[0.014167782850563526, 0.010382668115198612, 0.01760428212583065]",1,0.010382668115198612,29.124046217002615
84,0.375,0.625,0.875,0.7907261252403259,berechnet,0.25,4,"[0.07517169415950775, 0.08111802488565445, 0.046958666294813156, 0.035470347851514816]",3,0.035470347851514816,60.20122833700589
85,0.75,0.125,0.25,-0.11472181975841522,berechnet,-0.625,4,"[0.008823427371680737, 0.011618483811616898, 0.008873828686773777, 0.008733193390071392]",1,0.011618483811616898,24.09893201100931
86,1.0,0.625,0.875,0.983094334602356,berechnet,-0.375,5,"[0.020398518070578575, 0.025269614532589912, 0.01665465719997883, 0.009793632663786411, 0.02353593148291111]",4,0.02353593148291111,29.117105592988082
87,0.75,0.75,0.625,0.6896030902862549,berechnet,0.0,3,"[0.0780407041311264, 0.007316566538065672, 0.02076485939323902]",0,0.0780407041311264,32.64435167500051
88,1.0,0.75,1.0,1.0219252109527588,berechnet,-0.25,4,"[0.024071771651506424, 0.024732764810323715, 0.018605604767799377, 0.009069755673408508]",3,0.009069755673408508,34.33675670900266
89,0.875,0.375,0.25,-0.4871203899383545,berechnet,-0.5,5,"[0.0041731977835297585, 0.09288445860147476, 0.024273725226521492, 0.006584810093045235, 0.023770516738295555]",1,0.09288445860147476,46.08669073699275
90,0.875,0.875,0.875,3.454803228378296,berechnet,0.0,5,"[0.015831580385565758, 0.019735421985387802, 0.040805213153362274, 0.06569672375917435, 0.09296952188014984]",0,0.015831580385565758,35.30199522600742
91,0.75,0.5,0.875,1.6406142711639404,berechnet,-0.25,5,"[0.06308805197477341, 0.012051820755004883, 0.02061457559466362, 0.03239845484495163, 0.008110211230814457]",3,0.03239845484495163,47.06399288900138
92,1.0,0.875,0.625,1.342228651046753,berechnet,-0.125,4,"[0.026681208983063698, 0.015950968489050865, 0.013920241966843605, 0.021463995799422264]",0,0.026681208983063698,52.64691565699468
93,0.75,0.375,1.0,0.5526961088180542,berechnet,-0.375,3,"[0.015277345664799213, 0.017311999574303627, 0.014226504601538181]",0,0.015277345664799213,38.20960568501323
94,0.375,0.875,1.0,1.3433446884155273,berechnet,0.5,4,"[0.01104026846587658, 0.03703729435801506, 0.03231022506952286, 0.020768558606505394]",3,0.020768558606505394,33.81132396700559
95,1.0,1.0,0.75,2.1824402809143066,berechnet,0.0,4,"[0.03542140871286392, 0.031312357634305954, 0.015074566937983036, 0.09454399347305298]",1,0.031312357634305954,43.30714936899312
96,0.25,1.0,0.875,0.384360134601593,berechnet,0.75,4,"[0.01083337888121605, 0.019393334165215492, 0.01647559180855751, 0.01221443060785532]",1,0.019393334165215492,29.554560251999646
97,0.625,0.875,0.875,1.8741759061813354,berechnet,0.25,5,"[0.007221094332635403, 0.010911443270742893, 0.005664520431309938, 0.025684384629130363, 0.011812597513198853]",3,0.025684384629130363,31.85094486598973
98,0.875,0.25,0.75,0.017733052372932434,berechnet,-0.625,4,"[0.008960360661149025, 0.01128839235752821, 0.00889930035918951, 0.011451208032667637]",0,0.008960360661149025,24.431911562001915
99,0.875,1.0,1.0,0.6807609796524048,berechnet,0.125,3,"[0.022556787356734276, 0.02864442765712738, 0.01666722074151039]",1,0.02864442765712738,28.90695674000017
