cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_004:107058,a_004,107058,-7.580097675323486,24.017244338989258,13,0,0,0.0,0.0
gated_alive:a_004:107302,a_004,107302,0.6694445013999939,43.23374938964844,13,0,0,0.0,0.0
gated_alive:a_004:107668,a_004,107668,-18.148069381713867,10.993307113647461,13,0,0,0.0,0.0
gated_alive:a_004:108062,a_004,108062,-57.813629150390625,15.967255592346191,13,0,0,0.0,0.0
gated_alive:a_004:108137,a_004,108137,48.756412506103516,-36.920772552490234,13,0,0,0.0,0.0
gated_alive:a_004:108493,a_004,108493,3.732564926147461,46.983524322509766,13,0,0,0.0,0.0
gated_alive:a_004:108847,a_004,108847,16.03531837463379,36.9304313659668,13,0,0,0.0,0.0
gated_alive:a_004:109087,a_004,109087,-23.757802963256836,36.92929458618164,13,0,0,0.0,0.0
gated_alive:a_004:109191,a_004,109191,-16.963056564331055,5.004076957702637,13,0,0,0.0,0.0
gated_alive:a_004:109193,a_004,109193,-39.971126556396484,38.881683349609375,13,0,0,0.0,0.0
gated_alive:a_004:109262,a_004,109262,52.45039749145508,30.941911697387695,13,0,0,0.0,0.0
gated_alive:a_004:109447,a_004,109447,-20.03497314453125,-28.43048858642578,13,0,0,0.0,0.0
gated_alive:a_004:109625,a_004,109625,6.508230686187744,59.718505859375,13,0,0,0.0,0.0
gated_alive:a_004:110090,a_004,110090,-21.697336196899414,18.54165267944336,13,0,0,0.0,0.0
gated_alive:a_004:110258,a_004,110258,-30.146469116210938,-14.542038917541504,13,0,0,0.0,0.0
gated_alive:a_004:110342,a_004,110342,58.498111724853516,-13.224980354309082,13,0,0,0.0,0.0
gated_alive:a_004:110457,a_004,110457,43.755889892578125,-20.300601959228516,13,0,0,0.0,0.0
gated_alive:a_004:110685,a_004,110685,-0.3490031361579895,-56.13780975341797,13,0,1,0.0,0.07692307692307693
gated_alive:a_004:110730,a_004,110730,50.344478607177734,-23.959980010986328,13,0,0,0.0,0.0
gated_alive:a_004:110896,a_004,110896,36.96636962890625,15.792418479919434,13,0,0,0.0,0.0
gated_alive:a_004:111109,a_004,111109,-13.680054664611816,-11.647109985351562,13,0,0,0.0,0.0
gated_alive:a_004:111211,a_004,111211,-19.088245391845703,-12.840436935424805,13,0,0,0.0,0.0
gated_alive:a_004:111339,a_004,111339,-7.198145389556885,49.1422119140625,13,0,0,0.0,0.0
gated_alive:a_004:111466,a_004,111466,-20.120880126953125,-9.516057014465332,13,0,0,0.0,0.0
