cell_id,sample_id,event_index
gated_alive:a_001:54533,a_001,54533
gated_alive:a_001:54613,a_001,54613
gated_alive:a_001:54700,a_001,54700
gated_alive:a_001:54772,a_001,54772
gated_alive:a_001:54860,a_001,54860
gated_alive:a_001:55103,a_001,55103
gated_alive:a_001:55215,a_001,55215
gated_alive:a_001:55503,a_001,55503
gated_alive:a_001:55626,a_001,55626
gated_alive:a_001:55730,a_001,55730
gated_alive:a_001:55911,a_001,55911
gated_alive:a_001:55930,a_001,55930
gated_alive:a_001:56073,a_001,56073
gated_alive:a_001:56221,a_001,56221
gated_alive:a_001:57067,a_001,57067
gated_alive:a_001:57100,a_001,57100
gated_alive:a_001:57103,a_001,57103
gated_alive:a_001:57134,a_001,57134
gated_alive:a_001:57349,a_001,57349
gated_alive:a_001:57358,a_001,57358
gated_alive:a_001:57395,a_001,57395
gated_alive:a_001:57763,a_001,57763
gated_alive:a_001:57777,a_001,57777
gated_alive:a_001:58717,a_001,58717
gated_alive:a_001:58799,a_001,58799
gated_alive:a_001:58810,a_001,58810
gated_alive:a_001:58845,a_001,58845
gated_alive:a_001:59039,a_001,59039
gated_alive:a_001:59191,a_001,59191
gated_alive:a_001:59207,a_001,59207
gated_alive:a_001:59232,a_001,59232
gated_alive:a_001:59518,a_001,59518
gated_alive:a_001:59716,a_001,59716
gated_alive:a_001:59987,a_001,59987
gated_alive:a_001:60211,a_001,60211
gated_alive:a_001:60456,a_001,60456
gated_alive:a_001:60550,a_001,60550
gated_alive:a_001:60760,a_001,60760
gated_alive:a_001:60785,a_001,60785
gated_alive:a_001:60869,a_001,60869
gated_alive:a_001:60985,a_001,60985
gated_alive:a_001:61387,a_001,61387
gated_alive:a_001:61393,a_001,61393
gated_alive:a_001:61523,a_001,61523
gated_alive:a_001:61618,a_001,61618
gated_alive:a_001:62013,a_001,62013
gated_alive:a_001:62061,a_001,62061
gated_alive:a_001:62167,a_001,62167
gated_alive:a_001:62216,a_001,62216
gated_alive:a_001:62242,a_001,62242
gated_alive:a_001:62290,a_001,62290
gated_alive:a_001:62690,a_001,62690
gated_alive:a_001:62693,a_001,62693
gated_alive:a_001:62896,a_001,62896
gated_alive:a_001:62981,a_001,62981
gated_alive:a_001:63016,a_001,63016
gated_alive:a_001:63139,a_001,63139
gated_alive:a_001:63264,a_001,63264
gated_alive:a_001:63329,a_001,63329
gated_alive:a_001:63454,a_001,63454
gated_alive:a_001:63729,a_001,63729
gated_alive:a_001:63884,a_001,63884
gated_alive:a_001:63922,a_001,63922
gated_alive:a_001:63936,a_001,63936
gated_alive:a_001:63969,a_001,63969
gated_alive:a_001:63970,a_001,63970
gated_alive:a_001:64264,a_001,64264
gated_alive:a_001:64267,a_001,64267
gated_alive:a_001:64331,a_001,64331
gated_alive:a_001:64472,a_001,64472
gated_alive:a_001:64582,a_001,64582
gated_alive:a_001:64586,a_001,64586
gated_alive:a_001:64727,a_001,64727
gated_alive:a_001:65133,a_001,65133
gated_alive:a_001:65150,a_001,65150
gated_alive:a_001:65162,a_001,65162
gated_alive:a_001:65284,a_001,65284
gated_alive:a_001:65584,a_001,65584
gated_alive:a_001:65923,a_001,65923
gated_alive:a_001:65942,a_001,65942
gated_alive:a_001:66140,a_001,66140
gated_alive:a_001:66195,a_001,66195
gated_alive:a_001:66315,a_001,66315
gated_alive:a_001:66351,a_001,66351
gated_alive:a_001:66405,a_001,66405
gated_alive:a_001:66741,a_001,66741
gated_alive:a_001:67344,a_001,67344
gated_alive:a_001:67355,a_001,67355
gated_alive:a_001:67751,a_001,67751
gated_alive:a_001:67860,a_001,67860
gated_alive:a_001:67940,a_001,67940
gated_alive:a_001:68173,a_001,68173
gated_alive:a_001:68203,a_001,68203
gated_alive:a_001:68221,a_001,68221
gated_alive:a_001:68266,a_001,68266
gated_alive:a_001:68327,a_001,68327
gated_alive:a_001:68727,a_001,68727
gated_alive:a_001:68948,a_001,68948
gated_alive:a_001:69183,a_001,69183
gated_alive:a_001:69499,a_001,69499
gated_alive:a_001:69707,a_001,69707
gated_alive:a_001:69784,a_001,69784
gated_alive:a_001:69953,a_001,69953
gated_alive:a_001:70072,a_001,70072
gated_alive:a_001:70143,a_001,70143
gated_alive:a_001:70259,a_001,70259
gated_alive:a_001:70260,a_001,70260
gated_alive:a_001:70290,a_001,70290
gated_alive:a_001:71090,a_001,71090
gated_alive:a_001:71428,a_001,71428
gated_alive:a_001:71906,a_001,71906
gated_alive:a_001:72681,a_001,72681
gated_alive:a_001:72852,a_001,72852
gated_alive:a_001:73121,a_001,73121
gated_alive:a_001:73210,a_001,73210
gated_alive:a_001:73279,a_001,73279
gated_alive:a_001:73326,a_001,73326
gated_alive:a_001:73430,a_001,73430
gated_alive:a_001:73570,a_001,73570
gated_alive:a_001:73599,a_001,73599
gated_alive:a_001:73853,a_001,73853
gated_alive:a_001:74053,a_001,74053
gated_alive:a_001:74155,a_001,74155
gated_alive:a_001:74406,a_001,74406
gated_alive:a_001:74527,a_001,74527
gated_alive:a_001:75226,a_001,75226
gated_alive:a_001:75248,a_001,75248
gated_alive:a_001:75541,a_001,75541
gated_alive:a_001:75853,a_001,75853
gated_alive:a_001:75941,a_001,75941
gated_alive:a_001:76089,a_001,76089
gated_alive:a_001:76269,a_001,76269
gated_alive:a_001:76282,a_001,76282
gated_alive:a_001:76303,a_001,76303
gated_alive:a_001:76782,a_001,76782
gated_alive:a_001:76818,a_001,76818
gated_alive:a_001:76836,a_001,76836
gated_alive:a_001:76916,a_001,76916
gated_alive:a_001:76924,a_001,76924
gated_alive:a_001:77004,a_001,77004
gated_alive:a_001:77011,a_001,77011
gated_alive:a_001:77015,a_001,77015
gated_alive:a_001:77112,a_001,77112
gated_alive:a_001:77910,a_001,77910
gated_alive:a_001:78294,a_001,78294
gated_alive:a_001:78320,a_001,78320
gated_alive:a_001:78621,a_001,78621
gated_alive:a_001:78695,a_001,78695
gated_alive:a_001:78713,a_001,78713
gated_alive:a_001:78898,a_001,78898
gated_alive:a_001:79007,a_001,79007
gated_alive:a_001:79138,a_001,79138
gated_alive:a_001:79227,a_001,79227
gated_alive:a_001:79471,a_001,79471
gated_alive:a_001:79503,a_001,79503
gated_alive:a_001:79511,a_001,79511
gated_alive:a_001:79662,a_001,79662
gated_alive:a_001:79717,a_001,79717
gated_alive:a_001:79841,a_001,79841
gated_alive:a_001:79911,a_001,79911
gated_alive:a_001:80053,a_001,80053
gated_alive:a_001:80108,a_001,80108
gated_alive:a_001:80550,a_001,80550
gated_alive:a_001:81242,a_001,81242
gated_alive:a_001:81367,a_001,81367
gated_alive:a_001:81462,a_001,81462
gated_alive:a_001:81553,a_001,81553
gated_alive:a_001:81665,a_001,81665
gated_alive:a_001:82062,a_001,82062
gated_alive:a_001:82157,a_001,82157
gated_alive:a_001:82173,a_001,82173
gated_alive:a_001:82210,a_001,82210
gated_alive:a_002:340,a_002,340
gated_alive:a_002:427,a_002,427
gated_alive:a_002:439,a_002,439
gated_alive:a_002:448,a_002,448
gated_alive:a_002:695,a_002,695
gated_alive:a_002:748,a_002,748
gated_alive:a_002:953,a_002,953
gated_alive:a_002:1073,a_002,1073
gated_alive:a_002:1076,a_002,1076
gated_alive:a_002:1118,a_002,1118
gated_alive:a_002:1370,a_002,1370
gated_alive:a_002:1514,a_002,1514
gated_alive:a_002:2095,a_002,2095
gated_alive:a_002:2114,a_002,2114
gated_alive:a_002:2158,a_002,2158
gated_alive:a_002:2192,a_002,2192
gated_alive:a_002:3423,a_002,3423
gated_alive:a_002:3605,a_002,3605
gated_alive:a_002:3610,a_002,3610
gated_alive:a_002:3640,a_002,3640
