split_id,split_seed,gate,run_mode,marker,weight,intercept,scaler_mean,scaler_scale,cofactor,top_fraction,best_C,decision_threshold,negative_class,positive_class
0,3003105692,gated_alive,full,2B4,-0.0013695087464284785,0.00025520667359745804,1.2284649590686312,1.2398053398484894,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD33,-0.02460065368579914,0.00025520667359745804,2.281105732671759,1.774769061803063,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD11b,-0.025567771269366265,0.00025520667359745804,0.6514090355548046,0.9336504362144175,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKp30,-0.020333557861000974,0.00025520667359745804,0.42139599676954886,0.9183068129738425,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD122,-0.07851609822034289,0.00025520667359745804,0.4148519449275681,0.8844050049893308,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,3DL1,-0.002181426702712774,0.00025520667359745804,0.1224244623517648,0.7088166128096366,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKp44,-0.004518005084706546,0.00025520667359745804,0.0010997424374290883,0.38473061127876096,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD127,-0.04765359752547588,0.00025520667359745804,0.8916675426334466,1.2795040479788051,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL1,-0.06841867641119383,0.00025520667359745804,0.12370843251680314,0.5946758288729332,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD94,0.07435148884834361,0.00025520667359745804,0.7207963928065039,1.3342677935330096,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD34,-0.019777761891298932,0.00025520667359745804,0.5920191411540449,1.0172247510282704,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CCR7,-0.006581492292654637,0.00025520667359745804,0.49442181020978593,0.8823192114364409,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL3,0.007106751389804693,0.00025520667359745804,0.20558908484213517,0.6988077468865308,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKG2A,-0.06264586770967571,0.00025520667359745804,0.8160796735310524,1.245255953058064,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,HLA-DR,0.03270395292897349,0.00025520667359745804,3.331640386270076,2.1542205337422353,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL4,0.04887794805811301,0.00025520667359745804,0.9498246490927037,1.1076366703973428,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD56,-0.0043348386404317134,0.00025520667359745804,0.9115822072543699,1.307888114047014,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL5,-0.015164752220754462,0.00025520667359745804,0.20233991789581007,0.6250463220543776,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD25,0.0328394637785633,0.00025520667359745804,0.054803846088204926,0.42409036110485676,5.0,0.01,0.01,0.9867070281361117,0,1
1,976400780,gated_alive,full,CD3,0.0402173843719718,0.0007043736660626964,3.4182334191147548,1.8156850125646593,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,CD27,-0.049362183611266826,0.0007043736660626964,0.8825971332369991,1.1029330772568955,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,CD19,0.018897158288460288,0.0007043736660626964,0.6895948022595235,1.187603104356537,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,CD4,0.004456269283333634,0.0007043736660626964,1.1492047847750073,1.2975845392080685,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,CD8,0.05345289880034286,0.0007043736660626964,1.9395839340005607,1.6807503181059413,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,CD57,0.0874439131167064,0.0007043736660626964,0.7471342132171958,1.4035966502322947,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,2DL1-S1,-0.018018498464799932,0.0007043736660626964,0.15940287527157074,0.6244544271492112,5.0,0.01,0.01,1.0130438430684896,0,1
1,976400780,gated_alive,full,TRAIL,0.00425495829075094,0.0007043736660626964,-0.02863987128755986,0.3111840146944958,5.0,0.01,0.01,1.0130438430684896,0,1
