cluster,sample_id,cell_count,variant
9,a_010,6,ward_k14
9,a_011,13,ward_k14
9,a_012,10,ward_k14
9,a_1a,10,ward_k14
9,a_2a,7,ward_k14
9,a_2b,2,ward_k14
9,a_3a,22,ward_k14
9,a_3b,12,ward_k14
9,a_4a,25,ward_k14
9,a_4b,22,ward_k14
9,a_5a,26,ward_k14
9,a_5b,18,ward_k14
10,a_001,12,ward_k14
10,a_002,17,ward_k14
10,a_003,48,ward_k14
10,a_004,23,ward_k14
10,a_005,50,ward_k14
10,a_006,8,ward_k14
10,a_007,27,ward_k14
10,a_009,20,ward_k14
10,a_010,19,ward_k14
10,a_011,40,ward_k14
10,a_012,12,ward_k14
10,a_1a,26,ward_k14
10,a_2a,19,ward_k14
10,a_2b,11,ward_k14
10,a_3a,21,ward_k14
10,a_3b,28,ward_k14
10,a_4a,48,ward_k14
10,a_4b,18,ward_k14
10,a_5a,18,ward_k14
10,a_5b,18,ward_k14
11,a_001,2,ward_k14
11,a_002,13,ward_k14
11,a_003,32,ward_k14
11,a_004,0,ward_k14
11,a_005,9,ward_k14
11,a_006,25,ward_k14
11,a_007,24,ward_k14
11,a_009,35,ward_k14
11,a_010,2,ward_k14
11,a_011,2,ward_k14
11,a_012,20,ward_k14
11,a_1a,9,ward_k14
11,a_2a,2,ward_k14
11,a_2b,1,ward_k14
11,a_3a,2,ward_k14
11,a_3b,0,ward_k14
11,a_4a,23,ward_k14
11,a_4b,14,ward_k14
11,a_5a,14,ward_k14
11,a_5b,18,ward_k14
12,a_001,14,ward_k14
12,a_002,10,ward_k14
12,a_003,17,ward_k14
12,a_004,8,ward_k14
12,a_005,16,ward_k14
12,a_006,16,ward_k14
12,a_007,8,ward_k14
12,a_009,18,ward_k14
12,a_010,17,ward_k14
12,a_011,15,ward_k14
12,a_012,18,ward_k14
12,a_1a,12,ward_k14
12,a_2a,19,ward_k14
12,a_2b,13,ward_k14
12,a_3a,10,ward_k14
12,a_3b,8,ward_k14
12,a_4a,9,ward_k14
12,a_4b,18,ward_k14
12,a_5a,9,ward_k14
12,a_5b,11,ward_k14
13,a_001,11,ward_k14
13,a_002,61,ward_k14
13,a_003,30,ward_k14
13,a_004,26,ward_k14
13,a_005,27,ward_k14
13,a_006,6,ward_k14
13,a_007,17,ward_k14
13,a_009,15,ward_k14
13,a_010,13,ward_k14
13,a_011,28,ward_k14
13,a_012,27,ward_k14
13,a_1a,1,ward_k14
13,a_2a,4,ward_k14
13,a_2b,1,ward_k14
13,a_3a,14,ward_k14
13,a_3b,11,ward_k14
13,a_4a,2,ward_k14
13,a_4b,1,ward_k14
13,a_5a,14,ward_k14
13,a_5b,13,ward_k14
0,a_001,75,leiden_r1.0
0,a_002,56,leiden_r1.0
0,a_003,140,leiden_r1.0
0,a_004,127,leiden_r1.0
0,a_005,74,leiden_r1.0
0,a_006,68,leiden_r1.0
0,a_007,63,leiden_r1.0
0,a_009,68,leiden_r1.0
0,a_010,77,leiden_r1.0
0,a_011,165,leiden_r1.0
0,a_012,166,leiden_r1.0
0,a_1a,88,leiden_r1.0
0,a_2a,140,leiden_r1.0
0,a_2b,82,leiden_r1.0
0,a_3a,113,leiden_r1.0
0,a_3b,96,leiden_r1.0
0,a_4a,79,leiden_r1.0
0,a_4b,140,leiden_r1.0
0,a_5a,77,leiden_r1.0
0,a_5b,75,leiden_r1.0
1,a_001,93,leiden_r1.0
1,a_002,66,leiden_r1.0
1,a_003,15,leiden_r1.0
1,a_004,62,leiden_r1.0
1,a_005,40,leiden_r1.0
1,a_006,153,leiden_r1.0
1,a_007,109,leiden_r1.0
1,a_009,81,leiden_r1.0
1,a_010,91,leiden_r1.0
1,a_011,27,leiden_r1.0
1,a_012,28,leiden_r1.0
1,a_1a,161,leiden_r1.0
1,a_2a,77,leiden_r1.0
1,a_2b,115,leiden_r1.0
1,a_3a,88,leiden_r1.0
1,a_3b,107,leiden_r1.0
1,a_4a,73,leiden_r1.0
1,a_4b,71,leiden_r1.0
1,a_5a,80,leiden_r1.0
1,a_5b,75,leiden_r1.0
2,a_001,128,leiden_r1.0
2,a_002,121,leiden_r1.0
2,a_003,29,leiden_r1.0
2,a_004,38,leiden_r1.0
2,a_005,113,leiden_r1.0
2,a_006,34,leiden_r1.0
2,a_007,73,leiden_r1.0
2,a_009,71,leiden_r1.0
2,a_010,49,leiden_r1.0
2,a_011,45,leiden_r1.0
2,a_012,54,leiden_r1.0
2,a_1a,77,leiden_r1.0
2,a_2a,78,leiden_r1.0
2,a_2b,87,leiden_r1.0
2,a_3a,97,leiden_r1.0
2,a_3b,91,leiden_r1.0
2,a_4a,55,leiden_r1.0
2,a_4b,51,leiden_r1.0
2,a_5a,67,leiden_r1.0
2,a_5b,71,leiden_r1.0
3,a_001,61,leiden_r1.0
3,a_002,44,leiden_r1.0
3,a_003,66,leiden_r1.0
3,a_004,116,leiden_r1.0
3,a_005,22,leiden_r1.0
3,a_006,52,leiden_r1.0
3,a_007,76,leiden_r1.0
3,a_009,56,leiden_r1.0
3,a_010,112,leiden_r1.0
3,a_011,37,leiden_r1.0
3,a_012,32,leiden_r1.0
3,a_1a,51,leiden_r1.0
