split_id,C,inner_fold,validation_roc_auc,gate,run_mode,selected
31,1.0,1,0.8333333333333334,gated_alive,full,False
31,1.0,2,1.0,gated_alive,full,False
32,0.01,0,0.6666666666666666,gated_alive,full,True
32,0.01,1,0.8333333333333334,gated_alive,full,True
32,0.01,2,0.75,gated_alive,full,True
32,0.1,0,0.6666666666666666,gated_alive,full,False
32,0.1,1,0.8333333333333334,gated_alive,full,False
32,0.1,2,0.75,gated_alive,full,False
32,1.0,0,0.6666666666666666,gated_alive,full,False
32,1.0,1,0.8333333333333334,gated_alive,full,False
32,1.0,2,0.75,gated_alive,full,False
33,0.01,0,0.6666666666666666,gated_alive,full,True
33,0.01,1,0.6666666666666667,gated_alive,full,True
33,0.01,2,0.75,gated_alive,full,True
33,0.1,0,0.6666666666666666,gated_alive,full,False
33,0.1,1,0.6666666666666667,gated_alive,full,False
33,0.1,2,0.75,gated_alive,full,False
33,1.0,0,0.6666666666666666,gated_alive,full,False
33,1.0,1,0.6666666666666667,gated_alive,full,False
33,1.0,2,0.75,gated_alive,full,False
34,0.01,0,0.0,gated_alive,full,True
34,0.01,1,0.8333333333333334,gated_alive,full,True
34,0.01,2,0.5,gated_alive,full,True
34,0.1,0,0.0,gated_alive,full,False
34,0.1,1,0.8333333333333334,gated_alive,full,False
34,0.1,2,0.5,gated_alive,full,False
34,1.0,0,0.0,gated_alive,full,False
34,1.0,1,0.8333333333333334,gated_alive,full,False
34,1.0,2,0.5,gated_alive,full,False
35,0.01,0,0.6666666666666666,gated_alive,full,True
35,0.01,1,1.0,gated_alive,full,True
35,0.01,2,0.0,gated_alive,full,True
35,0.1,0,0.6666666666666666,gated_alive,full,False
35,0.1,1,1.0,gated_alive,full,False
35,0.1,2,0.0,gated_alive,full,False
35,1.0,0,0.6666666666666666,gated_alive,full,False
35,1.0,1,1.0,gated_alive,full,False
35,1.0,2,0.0,gated_alive,full,False
36,0.01,0,1.0,gated_alive,full,True
36,0.01,1,0.6666666666666667,gated_alive,full,True
36,0.01,2,0.75,gated_alive,full,True
36,0.1,0,1.0,gated_alive,full,False
36,0.1,1,0.6666666666666667,gated_alive,full,False
36,0.1,2,0.75,gated_alive,full,False
36,1.0,0,1.0,gated_alive,full,False
36,1.0,1,0.6666666666666667,gated_alive,full,False
36,1.0,2,0.75,gated_alive,full,False
37,0.01,0,1.0,gated_alive,full,True
37,0.01,1,0.5,gated_alive,full,True
37,0.01,2,0.0,gated_alive,full,True
37,0.1,0,1.0,gated_alive,full,False
37,0.1,1,0.5,gated_alive,full,False
37,0.1,2,0.0,gated_alive,full,False
37,1.0,0,1.0,gated_alive,full,False
37,1.0,1,0.5,gated_alive,full,False
37,1.0,2,0.0,gated_alive,full,False
38,0.01,0,0.5,gated_alive,full,True
38,0.01,1,0.8333333333333334,gated_alive,full,True
38,0.01,2,0.0,gated_alive,full,True
38,0.1,0,0.5,gated_alive,full,False
38,0.1,1,0.8333333333333334,gated_alive,full,False
38,0.1,2,0.0,gated_alive,full,False
38,1.0,0,0.5,gated_alive,full,False
38,1.0,1,0.8333333333333334,gated_alive,full,False
38,1.0,2,0.0,gated_alive,full,False
39,0.01,0,1.0,gated_alive,full,True
39,0.01,1,0.6666666666666667,gated_alive,full,True
39,0.01,2,0.5,gated_alive,full,True
39,0.1,0,1.0,gated_alive,full,False
39,0.1,1,0.6666666666666667,gated_alive,full,False
39,0.1,2,0.5,gated_alive,full,False
39,1.0,0,1.0,gated_alive,full,False
39,1.0,1,0.6666666666666667,gated_alive,full,False
39,1.0,2,0.5,gated_alive,full,False
40,0.01,0,0.5,gated_alive,full,True
40,0.01,1,0.5,gated_alive,full,True
40,0.01,2,0.75,gated_alive,full,True
40,0.1,0,0.5,gated_alive,full,False
40,0.1,1,0.5,gated_alive,full,False
40,0.1,2,0.75,gated_alive,full,False
40,1.0,0,0.5,gated_alive,full,False
40,1.0,1,0.5,gated_alive,full,False
40,1.0,2,0.75,gated_alive,full,False
41,0.01,0,0.8333333333333333,gated_alive,full,True
41,0.01,1,0.8333333333333334,gated_alive,full,True
41,0.01,2,0.75,gated_alive,full,True
41,0.1,0,0.8333333333333333,gated_alive,full,False
41,0.1,1,0.8333333333333334,gated_alive,full,False
41,0.1,2,0.75,gated_alive,full,False
