split_id,filter_id,training_maximum,response_threshold,contrast,training_donors
20,1,10.239072799682617,5.119536399841309,-0.9717329740524292,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b
20,2,20.48157501220703,10.240787506103516,-1.294662594795227,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b
20,3,17.392520904541016,8.696260452270508,-0.3461225926876068,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b
20,4,1.4323179721832275,0.7161589860916138,-0.018256425857543945,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b
21,0,14.633954048156738,7.316977024078369,0.7629492282867432,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b
21,1,21.1573543548584,10.5786771774292,-1.2055543661117554,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b
21,2,21.18828582763672,10.59414291381836,1.1942498683929443,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b
21,3,15.899943351745605,7.949971675872803,-1.4621989727020264,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b
22,0,3.4590272903442383,1.7295136451721191,-0.055459052324295044,a_002;a_003;a_006;a_007;a_011;a_012;a_1a;a_3a;a_5b
22,1,8.553390502929688,4.276695251464844,-0.7673970460891724,a_002;a_003;a_006;a_007;a_011;a_012;a_1a;a_3a;a_5b
22,2,5.790916442871094,2.895458221435547,0.712443470954895,a_002;a_003;a_006;a_007;a_011;a_012;a_1a;a_3a;a_5b
22,3,3.9229371547698975,1.9614685773849487,-0.1990572214126587,a_002;a_003;a_006;a_007;a_011;a_012;a_1a;a_3a;a_5b
23,0,18.698436737060547,9.349218368530273,0.8725448846817017,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b
23,1,36.45350646972656,18.22675323486328,-1.3797659873962402,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b
23,2,8.407893180847168,4.203946590423584,-0.8934793472290039,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b
23,3,17.2722225189209,8.63611125946045,0.7635484933853149,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b
23,4,16.028512954711914,8.014256477355957,1.1572074890136719,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b
24,0,25.684690475463867,12.842345237731934,-1.4601399898529053,a_001;a_007;a_009;a_010;a_011;a_012;a_1a;a_2b;a_4b
24,1,11.071843147277832,5.535921573638916,1.230747103691101,a_001;a_007;a_009;a_010;a_011;a_012;a_1a;a_2b;a_4b
24,2,29.074495315551758,14.537247657775879,1.779126763343811,a_001;a_007;a_009;a_010;a_011;a_012;a_1a;a_2b;a_4b
24,3,8.856498718261719,4.428249359130859,-0.7543076276779175,a_001;a_007;a_009;a_010;a_011;a_012;a_1a;a_2b;a_4b
24,4,19.13116455078125,9.565582275390625,-2.04490327835083,a_001;a_007;a_009;a_010;a_011;a_012;a_1a;a_2b;a_4b
25,0,31.678558349609375,15.839279174804688,-1.555025577545166,a_001;a_002;a_004;a_006;a_009;a_010;a_012;a_2a;a_4a;a_5a
25,1,14.685973167419434,7.342986583709717,1.6793298721313477,a_001;a_002;a_004;a_006;a_009;a_010;a_012;a_2a;a_4a;a_5a
25,2,15.086413383483887,7.543206691741943,1.732703685760498,a_001;a_002;a_004;a_006;a_009;a_010;a_012;a_2a;a_4a;a_5a
26,0,12.50528621673584,6.25264310836792,-0.49326562881469727,a_002;a_009;a_011;a_012;a_1a;a_2b;a_3a;a_4b;a_5a;a_5b
26,1,1.9580130577087402,0.9790065288543701,0.2741578221321106,a_002;a_009;a_011;a_012;a_1a;a_2b;a_3a;a_4b;a_5a;a_5b
26,2,14.359193801879883,7.179596900939941,0.8275157809257507,a_002;a_009;a_011;a_012;a_1a;a_2b;a_3a;a_4b;a_5a;a_5b
26,3,20.686697006225586,10.343348503112793,-0.5062425136566162,a_002;a_009;a_011;a_012;a_1a;a_2b;a_3a;a_4b;a_5a;a_5b
27,0,8.469742774963379,4.2348713874816895,-0.823993444442749,a_002;a_003;a_004;a_005;a_007;a_009;a_1a;a_3b;a_4a;a_5a
27,1,10.393451690673828,5.196725845336914,0.7527066469192505,a_002;a_003;a_004;a_005;a_007;a_009;a_1a;a_3b;a_4a;a_5a
27,2,9.121746063232422,4.560873031616211,-0.4557218551635742,a_002;a_003;a_004;a_005;a_007;a_009;a_1a;a_3b;a_4a;a_5a
27,3,5.456930160522461,2.7284650802612305,0.3572216033935547,a_002;a_003;a_004;a_005;a_007;a_009;a_1a;a_3b;a_4a;a_5a
27,4,3.3318493366241455,1.6659246683120728,0.2811111509799957,a_002;a_003;a_004;a_005;a_007;a_009;a_1a;a_3b;a_4a;a_5a
28,0,54.97929000854492,27.48964500427246,-1.718223214149475,a_001;a_002;a_005;a_009;a_010;a_011;a_1a;a_2b;a_4a
28,1,14.99761962890625,7.498809814453125,1.350913405418396,a_001;a_002;a_005;a_009;a_010;a_011;a_1a;a_2b;a_4a
28,2,12.046411514282227,6.023205757141113,1.3022534847259521,a_001;a_002;a_005;a_009;a_010;a_011;a_1a;a_2b;a_4a
