cell_id,sample_id,event_index,variant,component_1,component_2
gated_alive:a_001:10467,a_001,10467,pca,-0.4403975673940817,2.769901005546435
gated_alive:a_001:10485,a_001,10485,pca,-1.3145227164585014,-2.274182563176484
gated_alive:a_001:10640,a_001,10640,pca,-2.6948395471841846,0.5585768099818662
gated_alive:a_001:10780,a_001,10780,pca,2.817753516003673,-1.8437912653603201
gated_alive:a_001:10840,a_001,10840,pca,2.092696223839675,-2.114730919732047
gated_alive:a_001:10877,a_001,10877,pca,-2.2022895891496264,-2.0099654551675625
gated_alive:a_001:11449,a_001,11449,pca,-1.7963403693576072,-1.883463742624985
gated_alive:a_001:11455,a_001,11455,pca,-1.3521687558634707,1.1320593354078843
gated_alive:a_001:11507,a_001,11507,pca,-2.0862833467488713,-1.8124060607810344
gated_alive:a_001:11518,a_001,11518,pca,-1.657660332515413,-1.9383671050334084
gated_alive:a_001:11547,a_001,11547,pca,-1.810316456241445,-2.123146906158352
gated_alive:a_001:11605,a_001,11605,pca,1.4766043395710073,1.8206817195295806
gated_alive:a_001:11832,a_001,11832,pca,0.4260057991882796,0.7125661228122202
gated_alive:a_001:11862,a_001,11862,pca,-2.395376016468958,-0.06481540557876064
gated_alive:a_001:12194,a_001,12194,pca,-1.7369034272430268,-2.2217922094873614
gated_alive:a_001:12437,a_001,12437,pca,-2.2914313315204113,0.2120266024203562
gated_alive:a_001:12453,a_001,12453,pca,-2.1836018491367137,-1.8352090327658048
gated_alive:a_001:12490,a_001,12490,pca,-1.443688885275449,-2.654195587384275
gated_alive:a_001:12602,a_001,12602,pca,-1.180374996724655,-0.7129482938535766
gated_alive:a_001:12633,a_001,12633,pca,-2.4178391494733984,-2.2164156657257172
gated_alive:a_001:13161,a_001,13161,pca,-0.09843565519020403,-0.09477078567283938
gated_alive:a_001:13221,a_001,13221,pca,3.258421026554739,-0.3030728581211803
gated_alive:a_001:13224,a_001,13224,pca,-1.2233995619083322,-1.995246620621125
gated_alive:a_001:13526,a_001,13526,pca,-2.4413888555481735,-2.115196305121207
gated_alive:a_001:13631,a_001,13631,pca,1.7273994984805516,-2.8852099794036805
gated_alive:a_001:13657,a_001,13657,pca,-2.1379998585304145,1.7083871088682212
gated_alive:a_001:13690,a_001,13690,pca,-2.98897259133714,-1.4037928479366273
gated_alive:a_001:14003,a_001,14003,pca,-0.7454318533918738,2.7398101832092046
gated_alive:a_001:14331,a_001,14331,pca,-0.7552652720661588,1.1095114722832673
gated_alive:a_001:14379,a_001,14379,pca,1.5210942451593272,-3.3005904579319774
gated_alive:a_001:14504,a_001,14504,pca,-3.289733849484929,-1.7045244750093091
gated_alive:a_001:14728,a_001,14728,pca,2.7738155571807863,2.050377395628509
gated_alive:a_001:14738,a_001,14738,pca,-2.5422856475647615,-2.1348493713667116
