method,direction,donor_id,selected_cells,weight_sum,selection_fraction
CellCNN,positive,a_4a,61,8.481481481481481,0.01696296296296296
CellCNN,positive,a_4b,17,3.9166666666666665,0.007833333333333333
CellCNN,positive,a_5a,68,10.16,0.02032
CellCNN,positive,a_5b,80,14.0,0.028
CellCNN,negative,a_001,184,13.708333333333332,0.027416666666666666
CellCNN,negative,a_002,79,7.0,0.014
CellCNN,negative,a_003,151,8.071428571428571,0.016142857142857143
CellCNN,negative,a_004,264,15.900000000000002,0.0318
CellCNN,negative,a_005,59,6.166666666666666,0.012333333333333332
CellCNN,negative,a_006,227,13.884615384615387,0.027769230769230775
CellCNN,negative,a_007,146,10.7,0.0214
CellCNN,negative,a_009,61,3.0,0.006
CellCNN,negative,a_010,146,6.310344827586206,0.012620689655172412
CellCNN,negative,a_011,97,5.725,0.01145
CellCNN,negative,a_012,64,3.833333333333333,0.007666666666666666
CellCNN,negative,a_1a,139,8.166666666666668,0.016333333333333335
CellCNN,negative,a_2a,208,13.27027027027027,0.02654054054054054
CellCNN,negative,a_2b,236,15.794117647058822,0.031588235294117646
CellCNN,negative,a_3a,195,12.51219512195122,0.02502439024390244
CellCNN,negative,a_3b,162,9.432432432432433,0.018864864864864866
CellCNN,negative,a_4a,77,3.925925925925926,0.007851851851851853
CellCNN,negative,a_4b,83,5.375,0.01075
CellCNN,negative,a_5a,72,4.0,0.008
CellCNN,negative,a_5b,89,5.043478260869565,0.01008695652173913
Citrus,positive,a_001,430,72.25,0.1445
Citrus,positive,a_002,290,97.71428571428571,0.19542857142857142
Citrus,positive,a_003,324,77.88095238095238,0.15576190476190477
Citrus,positive,a_004,347,43.025000000000006,0.08605000000000002
Citrus,positive,a_005,317,91.66666666666667,0.18333333333333335
Citrus,positive,a_006,413,70.19230769230768,0.14038461538461536
Citrus,positive,a_007,393,79.95,0.15990000000000001
Citrus,positive,a_009,408,134.92105263157896,0.26984210526315794
Citrus,positive,a_010,394,44.51724137931035,0.08903448275862069
Citrus,positive,a_011,461,77.725,0.15544999999999998
Citrus,positive,a_012,252,67.875,0.13575
Citrus,positive,a_1a,384,65.30555555555556,0.13061111111111112
Citrus,positive,a_2a,433,69.91891891891893,0.13983783783783788
Citrus,positive,a_2b,429,70.17647058823528,0.14035294117647054
Citrus,positive,a_3a,434,77.7560975609756,0.15551219512195122
Citrus,positive,a_3b,426,73.91891891891892,0.14783783783783783
Citrus,positive,a_4a,431,91.74074074074073,0.18348148148148147
Citrus,positive,a_4b,427,82.20833333333334,0.16441666666666668
Citrus,positive,a_5a,366,95.28,0.19056
Citrus,positive,a_5b,319,86.17391304347827,0.17234782608695653
Citrus,negative,a_001,421,46.333333333333336,0.09266666666666667
Citrus,negative,a_002,345,54.42857142857143,0.10885714285714286
Citrus,negative,a_003,382,37.857142857142854,0.0757142857142857
Citrus,negative,a_004,471,58.025000000000006,0.11605000000000001
Citrus,negative,a_005,269,30.166666666666664,0.06033333333333333
Citrus,negative,a_006,408,44.76923076923077,0.08953846153846154
Citrus,negative,a_007,404,80.35000000000001,0.1607
Citrus,negative,a_009,357,58.6578947368421,0.1173157894736842
Citrus,negative,a_010,400,63.93103448275862,0.12786206896551724
Citrus,negative,a_011,456,57.724999999999994,0.11544999999999998
Citrus,negative,a_012,366,108.58333333333331,0.21716666666666662
Citrus,negative,a_1a,444,51.44444444444444,0.10288888888888889
Citrus,negative,a_2a,446,67.40540540540542,0.13481081081081084
Citrus,negative,a_2b,460,66.61764705882352,0.13323529411764704
Citrus,negative,a_3a,373,50.4390243902439,0.1008780487804878
Citrus,negative,a_3b,475,59.91891891891892,0.11983783783783784
Citrus,negative,a_4a,374,44.407407407407405,0.0888148148148148
Citrus,negative,a_4b,322,44.208333333333336,0.08841666666666667
Citrus,negative,a_5a,364,65.76,0.13152
Citrus,negative,a_5b,356,41.565217391304344,0.08313043478260869
