split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,epochs_run,selected
8,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,4245388444,0.4,0.3333333333333333,0.8007878522872924,6,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,4245388544,0.6,0.6666666666666666,0.6900470324158668,7,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,4245398344,0.4,0.75,0.7129903178215027,6,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,4245398444,0.6,0.8333333333333334,0.561862862586975,6,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,4245398544,0.6,1.0,1.104740941617638,6,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,4245408344,1.0,1.0,0.18474801123142243,12,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,4245408444,1.0,1.0,0.2964097988605499,7,False
8,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,4245408544,1.0,1.0,0.18335309885442258,9,True
9,gated_alive,full,cuda,quadratic_relu_top1_v1,0,3,1679803027,0.8,0.6666666666666666,0.49332300502061843,7,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,0,4,1679803127,0.6,0.6666666666666666,0.709425482749939,11,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,0,5,1679803227,0.4,0.6666666666666666,0.6955045433044433,6,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,1,3,1679813027,1.0,1.0,0.009685713984072208,70,True
9,gated_alive,full,cuda,quadratic_relu_top1_v1,1,4,1679813127,0.4,0.8333333333333334,0.7080840363502502,6,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,1,5,1679813227,0.4,0.5,0.7130379285812378,13,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,2,3,1679823027,1.0,1.0,0.04715210941620171,7,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,2,4,1679823127,1.0,1.0,0.03205871202750132,9,False
9,gated_alive,full,cuda,quadratic_relu_top1_v1,2,5,1679823227,1.0,1.0,0.05747124558547512,8,False
