variant,sample_id,silhouette
leiden_r1.0,a_4a,0.07830630576566545
leiden_r1.0,a_4b,0.07126556526136377
leiden_r1.0,a_5a,0.06586188765182907
leiden_r1.0,a_5b,0.0763909944145425
leiden_r1.5,a_001,0.015340084365823445
leiden_r1.5,a_002,0.0005509154327085314
leiden_r1.5,a_003,-2.3371601727563278e-05
leiden_r1.5,a_004,0.028238072489980053
leiden_r1.5,a_005,0.014562479819790551
leiden_r1.5,a_006,0.07616694617564199
leiden_r1.5,a_007,0.010709710838604291
leiden_r1.5,a_009,-0.004787589685700639
leiden_r1.5,a_010,0.05382600239965164
leiden_r1.5,a_011,-0.011713924176799754
leiden_r1.5,a_012,-0.006822084676512855
leiden_r1.5,a_1a,0.03638439345882217
leiden_r1.5,a_2a,0.03942157969760225
leiden_r1.5,a_2b,0.026337285082682113
leiden_r1.5,a_3a,0.023305479713541608
leiden_r1.5,a_3b,0.023392951883567638
leiden_r1.5,a_4a,0.03582290636421817
leiden_r1.5,a_4b,0.03789815603070412
leiden_r1.5,a_5a,0.0300185422921825
leiden_r1.5,a_5b,0.029938288179588615
