split_id,network_auc_baseline,network_auc_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
10,0.875,0.625,0.75,0.34579676389694214,berechnet,-0.25,4,"[0.014977768994867802, 0.014671643264591694, 0.026621133089065552, 0.035852186381816864]",1,0.014671643264591694,18.641655953993904
11,0.875,0.5,0.625,0.25179439783096313,berechnet,-0.375,4,"[0.02304835431277752, 0.03790726512670517, 0.019831988960504532, 0.014829725958406925]",0,0.02304835431277752,30.53055321300053
12,0.75,0.75,0.75,1.6619442701339722,berechnet,0.0,5,"[0.00640196492895484, 0.010991844348609447, 0.01272809412330389, 0.012064043432474136, 0.027689171954989433]",3,0.012064043432474136,28.466538173001027
13,1.0,0.875,1.0,2.757514715194702,berechnet,-0.125,5,"[0.017462681978940964, 0.04572839289903641, 0.00802704133093357, 0.02203788049519062, 0.04395661875605583]",3,0.02203788049519062,25.56209572100488
14,1.0,0.625,0.75,0.02393726259469986,berechnet,-0.375,4,"[0.010370275937020779, 0.010319149121642113, 0.010098477825522423, 0.009893652983009815]",0,0.010370275937020779,15.67301743599819
15,0.625,0.875,0.625,0.7996687889099121,berechnet,0.25,4,"[0.028880300000309944, 0.04147092625498772, 0.020260559394955635, 0.02768324315547943]",1,0.04147092625498772,30.94674141400901
16,0.625,0.125,0.25,-0.7180126011371613,berechnet,-0.5,3,"[0.008507641032338142, 0.008242566138505936, 0.009425937198102474]",0,0.008507641032338142,18.77087009200477
17,0.625,0.875,0.75,0.3338649272918701,berechnet,0.25,4,"[0.06161974370479584, 0.03084171563386917, 0.01259835995733738, 0.027331635355949402]",0,0.06161974370479584,28.01549724000506
18,1.0,0.875,1.0,0.687571108341217,berechnet,-0.125,5,"[0.018207861110568047, 0.011580565944314003, 0.008317488245666027, 0.00915682502090931, 0.015020277351140976]",4,0.015020277351140976,19.18958184600342
19,0.5,0.875,1.0,1.197597861289978,berechnet,0.375,5,"[0.03161077946424484, 0.011269282549619675, 0.01820206642150879, 0.04283326864242554, 0.023362809792160988]",1,0.011269282549619675,25.1707765070023
20,0.75,1.0,1.0,3.1782084703445435,berechnet,0.25,5,"[0.037983570247888565, 0.028530342504382133, 0.011122363619506359, 0.01710829883813858, 0.031017521396279335]",3,0.01710829883813858,34.74309700800222
21,0.625,0.5,0.75,0.9423622488975525,berechnet,-0.125,5,"[0.012688655406236649, 0.018486112356185913, 0.00608558114618063, 0.011046648025512695, 0.008465079590678215]",4,0.008465079590678215,21.35736805399938
22,0.625,1.0,1.0,0.7661277055740356,berechnet,0.375,5,"[0.0152673264965415, 0.04534205049276352, 0.013909505680203438, 0.01300102286040783, 0.013578534126281738]",1,0.04534205049276352,23.091128964006202
23,0.625,0.375,0.5,0.1503055989742279,berechnet,-0.25,5,"[0.013132413849234581, 0.011968650855123997, 0.014129407703876495, 0.023088855668902397, 0.023859644308686256]",3,0.023088855668902397,18.802918054992915
24,1.0,1.0,0.875,0.3321113586425781,berechnet,0.0,3,"[0.03276092931628227, 0.0073338644579052925, 0.016242671757936478]",0,0.03276092931628227,21.031333227001596
25,0.875,0.625,0.75,1.7538169622421265,berechnet,-0.25,5,"[0.00844376627355814, 0.02606622874736786, 0.06268259137868881, 0.01769586279988289, 0.05339571461081505]",4,0.05339571461081505,28.37618943399866
26,0.875,0.75,0.75,0.2745850384235382,berechnet,-0.125,5,"[0.009746785275638103, 0.0068958718329668045, 0.020817061886191368, 0.012719839811325073, 0.015365766361355782]",2,0.020817061886191368,21.929694748992915
27,0.75,0.75,0.5,0.014868974685668945,berechnet,0.0,5,"[0.01016176026314497, 0.01477345172315836, 0.008757798001170158, 0.008778104558587074, 0.011337406001985073]",1,0.01477345172315836,17.224859034002293
28,1.0,1.0,1.0,0.7086544036865234,berechnet,0.0,3,"[0.03512638434767723, 0.013958295807242393, 0.013847053982317448]",2,0.013847053982317448,20.57007263498963
29,1.0,1.0,1.0,3.5481427907943726,berechnet,0.0,4,"[0.012111546471714973, 0.027465013787150383, 0.00925158616155386, 0.007714787498116493]",0,0.012111546471714973,22.9270676849992
30,0.875,0.5,0.75,0.12010614201426506,berechnet,-0.375,5,"[0.00880479346960783, 0.00874760840088129, 0.011613820679485798, 0.0088966591283679, 0.011463823728263378]",4,0.011463823728263378,17.207917001011083
31,0.875,0.5,0.5,0.4827859401702881,berechnet,-0.375,4,"[0.010946621187031269, 0.00869079865515232, 0.02649613656103611, 0.023434769362211227]",2,0.02649613656103611,23.938018747998285
32,1.0,0.75,0.625,0.4303128719329834,berechnet,-0.25,5,"[0.22018475830554962, 0.05498863011598587, 0.03898560628294945, 0.004436828661710024, 0.050796136260032654]",4,0.050796136260032654,31.615307728003245
33,0.75,1.0,0.75,1.1484328508377075,berechnet,0.25,5,"[0.02431335859000683, 0.02903779409825802, 0.022568276152014732, 0.023855101317167282, 0.016374384984374046]",1,0.02903779409825802,24.26418105600169
34,0.875,0.5,0.625,0.19032913446426392,berechnet,-0.375,3,"[0.012702880427241325, 0.008381277322769165, 0.008497274480760098]",1,0.008381277322769165,16.99406631400052
35,0.875,1.0,0.125,-0.25647205114364624,berechnet,0.125,4,"[0.01210588775575161, 0.006459550466388464, 0.04880749061703682, 0.02970098704099655]",2,0.04880749061703682,19.514189905006788
36,0.875,0.625,1.0,2.9285861253738403,berechnet,-0.25,3,"[0.009377188980579376, 0.0970955342054367, 0.02217387966811657]",2,0.02217387966811657,36.47970686899498
37,1.0,0.75,0.875,0.5013424158096313,berechnet,-0.25,3,"[0.00887937843799591, 0.014447064138948917, 0.018125712871551514]",1,0.014447064138948917,17.066080054006306
38,0.375,1.0,0.75,0.08434197306632996,berechnet,0.625,5,"[0.01916235126554966, 0.011829931288957596, 0.00831358041614294, 0.03289581090211868, 0.010006118565797806]",4,0.010006118565797806,18.928374789000372
39,0.875,0.75,1.0,0.36966216564178467,berechnet,-0.125,5,"[0.025208067148923874, 0.03300338238477707, 0.029200859367847443, 0.051734697073698044, 0.031213155016303062]",0,0.025208067148923874,29.000141133001307
40,0.375,0.75,0.375,-0.03503572940826416,berechnet,0.375,3,"[0.016340764239430428, 0.009154051542282104, 0.020565567538142204]",0,0.016340764239430428,18.560458182997536
41,0.5,0.875,0.375,-0.0343644805252552,berechnet,0.375,3,"[0.01178137306123972, 0.03928544372320175, 0.01359668467193842]",2,0.01359668467193842,24.267009800998494
42,0.625,0.75,1.0,1.284772276878357,berechnet,0.125,4,"[0.02497274987399578, 0.01922019012272358, 0.027743220329284668, 0.02234547585248947]",2,0.027743220329284668,34.99779890399077
43,0.875,1.0,0.875,2.8106662034988403,berechnet,0.125,5,"[0.015358541160821915, 0.02204621583223343, 0.013571536168456078, 0.0086893942207098, 0.024309761822223663]",2,0.013571536168456078,21.553118816998904
44,0.5,0.875,1.0,0.9681718349456787,berechnet,0.375,5,"[0.006477237679064274, 0.008667225949466228, 0.024791063740849495, 0.03603672236204147, 0.07408345490694046]",2,0.024791063740849495,23.95753335900372
45,1.0,0.25,0.5,-0.05444929003715515,berechnet,-0.75,5,"[0.008926295675337315, 0.012887141667306423, 0.009232798591256142, 0.010066067799925804, 0.010219684801995754]",2,0.009232798591256142,16.8978180730046
46,1.0,0.625,0.75,0.7588305473327637,berechnet,-0.375,3,"[0.08934123069047928, 0.02821098454296589, 0.008181894198060036]",0,0.08934123069047928,25.874486372005777
47,0.75,0.625,0.625,0.51289963722229,berechnet,-0.125,4,"[0.06945496052503586, 0.06655409187078476, 0.026741910725831985, 0.08453676849603653]",0,0.06945496052503586,22.883924701993237
48,0.75,0.25,0.5,0.0020118504762649536,berechnet,-0.5,5,"[0.008785675279796124, 0.008898068219423294, 0.010559318587183952, 0.00873671192675829, 0.011691438965499401]",4,0.011691438965499401,18.01913055899786
49,0.625,0.625,0.625,0.4306579828262329,berechnet,0.0,5,"[0.09288152307271957, 0.14752472937107086, 0.018754489719867706, 0.008060161024332047, 0.05070728436112404]",3,0.008060161024332047,28.932576524006436
