split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,validation_cross_entropy_at_best_epoch,epochs_run,selected
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,4245388544,0.4,0.5,0.7126585750579834,0.7125983743667602,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,4245398344,0.4,0.33333333333333337,0.7172587656974793,0.717190637588501,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,4245398444,0.2,0.33333333333333337,0.7054273095130921,0.7053657975196839,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,4245398544,0.4,0.16666666666666669,0.7111793689727783,0.7111025385856629,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,4245408344,0.25,0.0,0.7399742197990418,0.7398923826217652,7,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,4245408444,1.0,1.0,0.23982749342918397,0.23603562474250794,28,True
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,4245408544,0.25,0.5,0.7178484201431274,0.7177420854568481,6,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,1679803027,0.6,1.0,0.6550426516532898,0.6549566421508789,6,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,1679803127,0.6,0.5,0.7069566774368287,0.7065406966209412,11,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,1679803227,0.6,0.5,0.6830047326087951,0.6824688348770142,9,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,1679813027,0.8,1.0,0.4532029967010021,0.4510941973626614,26,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,1679813127,0.8,1.0,0.3035429049730301,0.3004209420681,21,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,1679813227,0.8,0.8333333333333334,0.40983876419067383,0.4077468612194061,19,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,1679823027,1.0,1.0,0.3008993172645569,0.2861344200372696,65,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,1679823127,1.0,1.0,0.37863455653190614,0.3707981896400452,40,False
9,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,1679823227,1.0,1.0,0.1419690565019846,0.13192165039479734,60,True
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,3605303406,0.4,0.0,0.7503441853523254,0.7502160949707031,7,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,3605303506,0.6,1.0,0.6102921943664551,0.6100209450721741,8,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,3605303606,0.8,0.6666666666666666,0.6529606730937958,0.6515347324609756,15,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,3605313406,0.8,0.6666666666666667,0.6916229047775269,0.6912313618659973,11,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,3605313506,0.8,1.0,0.39248743468523023,0.39009261882305146,21,True
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,3605313606,0.4,0.5,0.7054862308502198,0.705387704372406,8,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,3605323406,0.0,0.0,0.7096356439590454,0.7095693635940552,6,False
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,3605323506,0.75,1.0,0.4901127767562866,0.48857879638671875,13,False
