split_id,network_auc,frequency_auc,frequency_effect,pooled_response_auc,pooled_response_effect,phenotype_status
69,0.75,0.875,0.007975,0.75,0.5372039303183556,berechnet
70,0.625,0.75,0.0005000000000000002,0.75,0.07087558507919312,berechnet
71,0.375,0.75,-0.0006375,0.75,0.00658595934510231,berechnet
72,1.0,1.0,0.011975,1.0,1.4763397239148617,berechnet
73,0.875,0.875,0.0044875,0.875,0.82442232593894,berechnet
74,0.75,0.875,0.0017625,0.75,0.5639435648918152,berechnet
75,0.5,0.9375,0.0070999999999999995,0.875,0.5993591658771038,berechnet
76,0.75,0.75,0.002862500000000002,0.75,0.2813609652221203,berechnet
77,0.5,0.625,-0.000675,0.625,0.004168938845396042,berechnet
78,0.75,0.5,-0.0001625,0.75,0.02401704341173172,berechnet
79,0.875,0.8125,0.0020125,0.875,0.4557795822620392,berechnet
80,0.25,0.5,-0.0020749999999999996,0.25,-0.04349741339683533,berechnet
81,0.75,0.25,-0.0013124999999999999,0.375,-0.07877024076879025,berechnet
82,0.625,0.4375,0.00017500000000000068,0.375,-0.019889838993549347,berechnet
83,1.0,1.0,0.005325000000000001,1.0,1.1277298144996166,berechnet
84,0.375,0.25,-0.007187499999999999,0.375,-0.13745765388011932,berechnet
85,1.0,0.25,-2.5e-05,0.5,-0.00027901464636670426,berechnet
86,1.0,0.9375,0.0002625,0.875,0.12328839488327503,berechnet
87,0.625,0.875,0.0012374999999999999,0.875,0.12816154258325696,berechnet
88,0.75,0.75,0.00021250000000000002,0.75,0.2919851578772068,berechnet
89,1.0,1.0,0.0005125,0.875,0.17236867267638445,berechnet
90,0.875,0.75,0.00445,0.875,0.6732633709907532,berechnet
91,0.75,0.5,0.004175,0.75,0.5485345255583525,berechnet
92,0.75,0.625,0.004037499999999999,0.625,0.40342411026358604,berechnet
93,0.625,0.9375,0.0010125000000000002,1.0,0.6761097288690507,berechnet
94,0.875,0.875,0.00285,0.875,0.6488393256440759,berechnet
95,1.0,0.75,0.005362499999999999,0.875,0.35553099773824215,berechnet
96,0.5,0.375,0.0032874999999999996,0.375,0.008553579449653625,berechnet
97,0.875,1.0,0.00605,1.0,0.2516394481062889,berechnet
98,1.0,0.875,0.0030125000000000004,0.75,0.20459064561873674,berechnet
99,1.0,0.875,0.0080375,0.875,1.0074776075780392,berechnet
