split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
55,1.0,1.0,0.015187500000000001,berechnet,1.0,1.0,0.006987500000000001,berechnet,1.0,1.0,0.00605,berechnet,0.0,0.0
56,0.75,0.875,0.013225,berechnet,0.875,0.875,0.008424999999999998,berechnet,1.0,0.875,0.00845,berechnet,-0.125,0.125
57,0.875,0.875,0.00445,berechnet,0.875,0.6875,0.0028875000000000003,berechnet,0.875,0.625,0.0024375,berechnet,0.0,0.0
58,1.0,1.0,0.0178375,berechnet,1.0,1.0,0.007237499999999999,berechnet,1.0,1.0,0.0092,berechnet,0.0,0.0
59,0.75,0.75,0.0012125,berechnet,1.0,1.0,0.00035000000000000005,berechnet,1.0,0.875,0.000325,berechnet,0.0,0.25
60,0.75,0.875,0.0239375,berechnet,0.75,0.75,0.0007500000000000001,berechnet,0.75,1.0,0.0158375,berechnet,0.0,0.0
61,0.625,1.0,0.007987500000000002,berechnet,0.75,1.0,0.004662499999999999,berechnet,0.75,1.0,0.0047374999999999,berechnet,0.0,0.125
62,1.0,1.0,0.0101,berechnet,0.75,1.0,0.0059499999999999996,berechnet,0.75,1.0,0.0091749999999999,berechnet,0.0,-0.25
63,0.875,0.625,0.00015000000000000001,berechnet,1.0,1.0,0.001675,berechnet,1.0,1.0,0.00165,berechnet,0.0,0.125
64,0.875,1.0,0.007975,berechnet,1.0,1.0,0.0050125,berechnet,1.0,1.0,0.0043875,berechnet,0.0,0.125
65,1.0,1.0,0.0168625,berechnet,1.0,1.0,0.0078375,berechnet,1.0,1.0,0.01645,berechnet,0.0,0.0
66,1.0,1.0,0.0016375,berechnet,0.75,0.5,-0.00025,berechnet,0.75,0.5,-0.000225,berechnet,0.0,-0.25
67,0.875,1.0,0.0156125,berechnet,1.0,1.0,0.007549999999999999,berechnet,1.0,1.0,0.0092249999999999,berechnet,0.0,0.125
68,0.75,0.625,0.0019124999999999993,berechnet,1.0,1.0,0.00655,berechnet,1.0,1.0,0.0083875,berechnet,0.0,0.25
69,0.75,0.6875,0.0004875,berechnet,0.875,0.75,3.7500000000000003e-05,berechnet,0.75,0.75,3.75e-05,berechnet,0.125,0.125
70,0.625,0.625,0.007487499999999999,berechnet,1.0,0.75,0.004675,berechnet,1.0,0.875,0.0044875,berechnet,0.0,0.375
71,0.75,0.875,0.006274999999999999,berechnet,1.0,0.8125,0.00395,berechnet,1.0,0.8125,0.00405,berechnet,0.0,0.25
72,0.875,1.0,0.0117625,berechnet,1.0,1.0,0.008324999999999999,berechnet,1.0,1.0,0.008375,berechnet,0.0,0.125
73,0.75,0.75,0.00925,berechnet,0.875,0.75,0.004762499999999999,berechnet,0.875,0.6875,0.0049375,berechnet,0.0,0.125
74,0.5,0.625,0.00035000000000000005,berechnet,0.875,0.625,9.999999999999994e-05,berechnet,0.75,0.75,0.0002999999999999,berechnet,0.125,0.375
75,0.875,0.875,0.0049,berechnet,0.625,0.5,0.0059,berechnet,0.625,0.5,0.0060625,berechnet,0.0,-0.25
76,1.0,1.0,0.014575000000000003,berechnet,1.0,1.0,0.0113125,berechnet,1.0,1.0,0.0111375,berechnet,0.0,0.0
77,0.875,0.875,0.0062875,berechnet,1.0,1.0,0.0033125000000000003,berechnet,1.0,1.0,0.0034125,berechnet,0.0,0.125
78,1.0,1.0,0.025174999999999996,berechnet,1.0,1.0,0.004762499999999999,berechnet,1.0,1.0,0.0051125,berechnet,0.0,0.0
79,1.0,1.0,0.0086625,berechnet,1.0,1.0,0.015125000000000001,berechnet,1.0,1.0,0.015225,berechnet,0.0,0.0
80,0.625,0.625,0.000125,berechnet,1.0,0.875,0.0055875000000000005,berechnet,1.0,0.875,0.0055375,berechnet,0.0,0.375
81,0.75,0.875,0.013587499999999999,berechnet,1.0,0.875,0.008812500000000001,berechnet,1.0,0.875,0.0084875,berechnet,0.0,0.25
82,1.0,1.0,0.01425,berechnet,1.0,1.0,0.012825,berechnet,1.0,1.0,0.013125,berechnet,0.0,0.0
83,1.0,1.0,0.008212500000000001,berechnet,1.0,0.75,0.0054125,berechnet,1.0,0.75,0.0053124999999999,berechnet,0.0,0.0
84,0.375,,,kein positiver Output-Kontrast,0.5,0.8125,0.00023750000000000003,berechnet,0.5,1.0,5e-05,berechnet,0.0,0.125
85,0.75,0.875,0.005487499999999999,berechnet,1.0,1.0,0.009300000000000001,berechnet,1.0,1.0,0.0107,berechnet,0.0,0.25
86,1.0,1.0,0.021675000000000003,berechnet,1.0,1.0,0.007637499999999999,berechnet,1.0,1.0,0.007775,berechnet,0.0,0.0
87,0.75,0.875,0.0007,berechnet,0.375,0.6875,8.75e-05,berechnet,0.375,0.6875,8.75e-05,berechnet,0.0,-0.375
88,1.0,0.75,0.0016625,berechnet,1.0,0.6875,0.0007250000000000001,berechnet,1.0,0.6875,0.0007625,berechnet,0.0,0.0
89,0.875,1.0,0.015874999999999997,berechnet,0.75,1.0,0.0090375,berechnet,0.75,1.0,0.0091,berechnet,0.0,-0.125
90,0.875,0.75,0.007325,berechnet,0.875,0.875,0.0019250000000000003,berechnet,1.0,0.875,0.0018375,berechnet,-0.125,0.0
91,0.75,0.5625,0.0046625,berechnet,0.875,0.875,0.005975,berechnet,0.875,0.875,0.0058874999999999,berechnet,0.0,0.125
92,1.0,0.875,0.013024999999999998,berechnet,1.0,1.0,0.0084625,berechnet,1.0,1.0,0.008925,berechnet,0.0,0.0
93,0.75,0.75,0.005425,berechnet,1.0,0.5,0.0015999999999999999,berechnet,1.0,0.5,0.0016124999999999,berechnet,0.0,0.25
94,0.375,0.375,6.250000000000006e-05,berechnet,1.0,1.0,0.0046125,berechnet,1.0,1.0,0.0044125,berechnet,0.0,0.625
95,1.0,1.0,0.0115,berechnet,1.0,1.0,0.0081125,berechnet,1.0,1.0,0.0100625,berechnet,0.0,0.0
96,0.25,1.0,0.0020625,berechnet,0.625,0.5625,7.499999999999998e-05,berechnet,0.625,0.5625,8.750000000000001e-05,berechnet,0.0,0.375
97,0.625,0.8125,0.013225,berechnet,0.625,0.625,0.0014624999999999998,berechnet,0.625,0.6875,0.0011625,berechnet,0.0,0.0
98,0.875,1.0,0.0093875,berechnet,1.0,1.0,0.0084,berechnet,1.0,1.0,0.0085625,berechnet,0.0,0.125
99,0.875,1.0,0.009587499999999999,berechnet,1.0,0.75,0.00915,berechnet,1.0,0.75,0.009925,berechnet,0.0,0.125
