split_id,donor_id,y_true,filter_id,alpha,rho,halfmax_threshold,frequency,n_selected_cells,training_donors,pooled_response,n_cells
6,a_2a,0,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.00025,5,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,0.23999923467636108,20000
6,a_2b,0,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.00045,9,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,0.3027557134628296,20000
6,a_5a,1,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.0115,230,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,2.566336154937744,20000
7,a_002,1,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.0023,46,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.7437146902084351,20000
7,a_004,0,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.0002,4,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.13254182040691376,20000
7,a_010,0,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.00135,27,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.5358801484107971,20000
7,a_012,1,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.00045,9,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.39236247539520264,20000
7,a_1a,0,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.00205,41,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.6802269816398621,20000
7,a_2a,0,2,0.010078905150294304,2.408151388168335,0.9803774952888489,0.0002,4,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b,0.12018250674009323,20000
8,a_001,1,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.00105,21,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,0.8022365570068359,20000
8,a_006,0,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.00025,5,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,0.24045410752296448,20000
8,a_010,0,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.0002,4,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,0.2150038331747055,20000
8,a_2a,0,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.0001,2,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,0.12662027776241302,20000
8,a_2b,0,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.00035,7,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,0.22107365727424622,20000
8,a_5a,1,0,0.00626564072445035,3.097536325454712,1.4198697805404663,0.00605,121,a_002;a_003;a_005;a_007;a_009;a_1a;a_3a;a_3b;a_4a;a_5b,1.6835631132125854,20000
9,a_003,0,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.0099,198,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,0.9160623550415039,20000
9,a_007,1,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.0086,172,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,0.8063924312591553,20000
9,a_011,0,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.01625,325,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,1.0319992303848267,20000
9,a_2b,0,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.00045,9,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,0.1388813853263855,20000
9,a_3a,0,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.0006,12,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,0.23310482501983643,20000
9,a_4b,1,2,0.03189081698656082,2.2863197326660156,0.9962708353996277,0.01045,209,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a,0.8618564605712891,20000
10,a_002,1,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.012,240,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,1.9862332344055176,20000
10,a_003,0,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.0021,42,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,1.2644332647323608,20000
10,a_007,1,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.00105,21,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,0.9393168091773987,20000
10,a_009,0,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.00035,7,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,0.6522715091705322,20000
10,a_010,0,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.00025,5,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,0.274585485458374,20000
10,a_2a,0,1,0.010224205441772938,3.9219918251037598,1.6279163360595703,0.0015,30,a_001;a_005;a_006;a_011;a_2b;a_3a;a_4a;a_4b;a_5a,0.9417132139205933,20000
11,a_002,1,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.0244,488,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,1.4535009860992432,20000
11,a_003,0,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.00575,115,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,1.0342867374420166,20000
11,a_006,0,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.00205,41,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,0.7748281955718994,20000
11,a_010,0,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.00165,33,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,0.6947203278541565,20000
11,a_011,0,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.00715,143,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,1.0922640562057495,20000
11,a_012,1,1,0.012189608067274094,2.3368210792541504,1.0207887887954712,0.02495,499,a_004;a_005;a_007;a_009;a_1a;a_2b;a_4a;a_4b;a_5a,1.3610525131225586,20000
12,a_001,1,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.00035,7,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,0.37422436475753784,20000
12,a_003,0,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.0043,86,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,1.1099255084991455,20000
12,a_004,0,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.0003,6,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,0.2779601812362671,20000
12,a_006,0,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.0065,130,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,1.2564644813537598,20000
12,a_3a,0,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.00035,7,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,0.23865634202957153,20000
12,a_4a,1,3,0.0064123282209038734,2.206346035003662,1.0132676362991333,0.0046,92,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a,1.127628207206726,20000
13,a_004,0,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.00115,23,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,0.8322154879570007,20000
13,a_009,0,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.00015,3,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,0.41326484084129333,20000
13,a_1a,0,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.0025,50,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,1.312178611755371,20000
13,a_3b,0,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.00085,17,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,0.8506466150283813,20000
13,a_4b,1,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.0034,68,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,1.509705901145935,20000
13,a_5a,1,3,0.01087507326155901,3.9217398166656494,1.689637541770935,0.01375,275,a_001;a_002;a_003;a_005;a_006;a_010;a_3a;a_4a;a_5b,2.3728606700897217,20000
14,a_005,1,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.045277711004018784,20000
14,a_010,0,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.04794709011912346,20000
14,a_2a,0,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.06355442851781845,20000
