split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,frequency_auc_delta,frequency_effect_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
34,0.875,1.0,0.0015374999939012,0.75,0.75,0.0026249999999999997,0.75,0.19577899761497974,berechnet,-0.125,-0.25,0.0010875000060987998,4,"[0.010227477177977562, 0.006763279903680086, 0.007810838986188173, 0.012513641268014908]",1,0.006763279903680086,18.190713948002667
35,0.875,0.8125,0.0052124998892395,0.875,0.6875,0.0007624999999999999,0.75,0.1728766057640314,berechnet,0.0,-0.125,-0.0044499998892395,5,"[0.00858707632869482, 0.009952319785952568, 0.027198120951652527, 0.004854790400713682, 0.0113100316375494]",0,0.00858707632869482,21.792659516999265
36,0.875,1.0,0.0061624997470062,0.625,0.75,0.007324999999999998,0.75,0.3535209372639656,berechnet,-0.25,-0.25,0.0011625002529937981,4,"[0.025904128327965736, 0.012528333812952042, 0.010967431589961052, 0.011580321006476879]",0,0.025904128327965736,30.13209759599704
37,1.0,1.0,0.008412499752012,0.5,0.25,-0.00015000000000000001,0.875,0.0748690813779831,berechnet,-0.5,-0.75,-0.008562499752012,3,"[0.004567258059978485, 0.010646140202879906, 0.007519877981394529]",1,0.010646140202879906,18.419660372004728
38,0.375,0.375,-0.0416249986737966,1.0,1.0,0.0050999999999999995,1.0,0.5449499413371086,berechnet,0.625,0.625,0.0467249986737966,4,"[0.007524897810071707, 0.013169805519282818, 0.013737647794187069, 0.005108413752168417]",2,0.013737647794187069,21.950550437002676
39,0.875,0.875,0.0062249996208265,0.75,0.5,0.0028125,0.5,0.08651106804609299,berechnet,-0.125,-0.375,-0.0034124996208265,5,"[0.011874032206833363, 0.011188819073140621, 0.014991993084549904, 0.008614549413323402, 0.010837150737643242]",2,0.014991993084549904,20.517095843999414
40,0.375,0.625,0.0003125000630461,0.0,0.0,-0.000725,0.0,-0.09406839311122894,berechnet,-0.375,-0.625,-0.0010375000630460998,4,"[0.008709791116416454, 0.01094521302729845, 0.008730382658541203, 0.00936264917254448]",0,0.008709791116416454,18.83361332399363
41,0.5,0.5625,0.0018249998229293,0.5,0.5,-0.0015874999999999997,0.5,-0.08477683365345001,berechnet,0.0,-0.0625,-0.0034124998229292996,5,"[0.011503469198942184, 0.007574262097477913, 0.006826527416706085, 0.016015706583857536, 0.008839020505547523]",0,0.011503469198942184,31.126950746998773
42,0.625,0.5,-8.749996777623892e-05,0.25,0.5,2.499999999999985e-05,0.5,-0.0022745728492736816,berechnet,-0.375,0.0,0.00011249996777623877,3,"[0.006220688112080097, 0.020972345024347305, 0.010219915769994259]",1,0.020972345024347305,33.67224304299452
43,0.875,1.0,0.0115375000750646,0.875,0.875,0.007475,1.0,0.7630116641521454,berechnet,0.0,-0.125,-0.0040625000750646,5,"[0.013056675903499126, 0.008612183853983879, 0.006829460151493549, 0.00873186532407999, 0.011235959827899933]",2,0.006829460151493549,19.076453461995698
44,0.5,,,1.0,1.0,0.030975000000000003,1.0,1.869144480675459,berechnet,0.5,,,3,"[0.005469202063977718, 0.004510901402682066, 0.0059491596184670925]",2,0.0059491596184670925,31.571052846993553
45,1.0,1.0,0.0160499995072314,0.25,0.5,-6.249999999999999e-05,0.0,-0.10331016406416893,berechnet,-0.75,-0.5,-0.0161124995072314,4,"[0.010384692810475826, 0.009034402668476105, 0.01261521689593792, 0.008277323096990585]",1,0.009034402668476105,18.151439919995028
46,1.0,0.875,0.0011625000188359,0.75,0.4375,-3.7500000000000003e-05,0.75,0.13654745370149612,berechnet,-0.25,-0.4375,-0.0012000000188359,3,"[0.029622936621308327, 0.013199517503380775, 0.007560389116406441]",2,0.007560389116406441,24.900366549991304
47,0.75,0.875,0.0050624998402781,0.75,0.75,0.003299999999999999,0.75,0.2733435817062855,berechnet,0.0,-0.125,-0.0017624998402781013,4,"[0.03217080980539322, 0.04397018626332283, 0.023762864992022514, 0.01145479828119278]",0,0.03217080980539322,32.154338880995056
48,0.75,0.875,0.0122999999730382,0.875,0.375,-8.75e-05,0.5,-0.005992642603814602,berechnet,0.125,-0.5,-0.0123874999730382,5,"[0.011266445741057396, 0.0096309008076787, 0.009633751586079597, 0.010065792128443718, 0.009314306080341339]",4,0.009314306080341339,17.504028664989164
49,0.625,0.625,0.0009999999174397,0.5,0.75,0.0013874999999999998,0.75,0.19385302066802979,berechnet,-0.125,0.125,0.0003875000825602998,5,"[0.008538499474525452, 0.030727695673704147, 0.008140863850712776, 0.005939951166510582, 0.019954616203904152]",4,0.019954616203904152,23.720713383998373
