split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,phenotype_status_modified,network_auc_delta
59,0.75,0.75,0.0012124999630032,berechnet,0.25,0.25,-0.0031249999010469764,berechnet,-0.5
60,0.75,0.875,0.0239374991506338,berechnet,0.625,0.75,0.09043749421834946,berechnet,-0.125
61,0.625,1.0,0.0079875000374158,berechnet,0.5,0.5,-0.03692498803138733,berechnet,-0.125
62,1.0,1.0,0.0100999994756421,berechnet,0.875,0.875,0.10506248474121094,berechnet,-0.125
63,0.875,0.625,0.0001500000016676,berechnet,1.0,,,kein positiver Output-Kontrast,0.125
64,0.875,1.0,0.0079750000149942,berechnet,0.875,0.75,0.02498750388622284,berechnet,0.0
65,1.0,1.0,0.016862499382114,berechnet,0.75,0.75,0.12373751401901245,berechnet,-0.25
66,1.0,1.0,0.0016374999768231,berechnet,1.0,0.5,-0.005112454295158386,berechnet,0.0
67,0.875,1.0,0.0156124997229198,berechnet,0.625,0.625,0.022087514400482178,berechnet,-0.25
68,0.75,0.625,0.0019125000271742,berechnet,1.0,1.0,0.15316248685121536,berechnet,0.25
69,0.75,0.6875,0.0004875000013271,berechnet,0.5,0.5,-0.030799999833106995,berechnet,-0.25
70,0.625,0.625,0.0074874996571452,berechnet,0.5,0.375,-3.749999450519681e-05,berechnet,-0.125
71,0.75,0.875,0.0062749996650381,berechnet,0.25,0.75,0.029762476682662964,berechnet,-0.5
72,0.875,1.0,0.0117624997510574,berechnet,0.25,0.75,0.00028750002456945367,berechnet,-0.625
73,0.75,0.75,0.0092500000318977,berechnet,0.625,0.5,-0.003612503409385681,berechnet,-0.125
74,0.5,0.625,0.0003500000530038,berechnet,0.25,0.8125,7.499999719584594e-05,berechnet,-0.25
75,0.875,0.875,0.0048999998925864,berechnet,0.5,,,kein positiver Output-Kontrast,-0.375
76,1.0,1.0,0.014574999542674,berechnet,0.875,0.75,0.03445000946521759,berechnet,-0.125
77,0.875,0.875,0.0062874997474864,berechnet,0.5,0.5,0.04359999392181635,berechnet,-0.375
78,1.0,1.0,0.0251749985945934,berechnet,0.75,0.5,0.005762510001659393,berechnet,-0.25
79,1.0,1.0,0.0086624996201862,berechnet,0.5,0.375,-0.016375002451241016,berechnet,-0.5
80,0.625,0.625,0.0001250000022992,berechnet,0.625,0.375,-0.01649998128414154,berechnet,0.0
81,0.75,0.875,0.0135874994593905,berechnet,0.25,0.5,-0.01967500150203705,berechnet,-0.5
82,1.0,1.0,0.0142499995417892,berechnet,0.625,0.75,0.06414999067783356,berechnet,-0.375
83,1.0,1.0,0.0082124997716164,berechnet,1.0,0.75,0.022162511944770813,berechnet,0.0
84,0.375,,,kein positiver Output-Kontrast,0.375,0.375,-0.01438748836517334,berechnet,0.0
85,0.75,0.875,0.0054874997586011,berechnet,0.25,0.375,-0.013512497767806053,berechnet,-0.5
86,1.0,1.0,0.021675000036339,berechnet,0.875,0.625,0.01596248149871826,berechnet,-0.125
87,0.75,0.875,0.0006999999950494,berechnet,0.75,0.875,0.20259999483823776,berechnet,0.0
88,1.0,0.75,0.0016624999670966,berechnet,0.625,0.875,0.007950000232085586,berechnet,-0.375
89,0.875,1.0,0.0158749998518032,berechnet,0.5,0.25,-0.040437474846839905,berechnet,-0.375
90,0.875,0.75,0.0073250002023996,berechnet,0.75,0.875,0.08951249718666077,berechnet,-0.125
91,0.75,0.5625,0.0046624999786217,berechnet,0.5,0.5,-0.029149994254112244,berechnet,-0.25
92,1.0,0.875,0.0130249992507742,berechnet,0.625,0.625,0.001249995082616806,berechnet,-0.375
93,0.75,0.75,0.0054249997483566,berechnet,0.25,0.5,-0.00036250054836273193,berechnet,-0.5
94,0.375,0.375,6.250003661989467e-05,berechnet,0.5,0.5,0.04472500830888748,berechnet,0.125
95,1.0,1.0,0.0114999999059364,berechnet,0.75,0.625,0.0834374949336052,berechnet,-0.25
96,0.25,1.0,0.0020624999087885,berechnet,1.0,0.625,0.06288749724626541,berechnet,0.75
97,0.625,0.8125,0.0132249995949678,berechnet,0.75,0.75,0.07184998691082001,berechnet,0.125
98,0.875,1.0,0.0093874994890938,berechnet,0.75,0.375,-0.007837533950805664,berechnet,-0.125
99,0.875,1.0,0.0095874994294717,berechnet,0.625,0.625,0.06242498755455017,berechnet,-0.25
