split_id,donor_id,y_true,filter_id,frequency,n_cells
52,a_010,0,1.0,0.8060999512672424,20000
52,a_011,0,1.0,0.8862499594688416,20000
52,a_3a,0,1.0,0.8545999526977539,20000
52,a_3b,0,1.0,0.8592000007629395,20000
52,a_4a,1,1.0,0.8716999888420105,20000
53,a_003,0,2.0,0.8395499587059021,20000
53,a_011,0,2.0,0.9389500021934509,20000
53,a_012,1,2.0,0.9275499582290649,20000
53,a_3a,0,2.0,0.9246000051498413,20000
53,a_3b,0,2.0,0.902899980545044,20000
53,a_5b,1,2.0,0.9508000016212463,20000
54,a_004,0,0.0,0.796750009059906,20000
54,a_007,1,0.0,0.8828499913215637,20000
54,a_011,0,0.0,0.8799499869346619,20000
54,a_012,1,0.0,0.8587499856948853,20000
54,a_1a,0,0.0,0.8636499643325806,20000
54,a_3b,0,0.0,0.8964999914169312,20000
55,a_003,0,3.0,0.5524500012397766,20000
55,a_005,1,3.0,0.7899999618530273,20000
55,a_010,0,3.0,0.8751999735832214,20000
55,a_1a,0,3.0,0.6600499749183655,20000
55,a_2b,0,3.0,0.8779499530792236,20000
55,a_4b,1,3.0,0.7096499800682068,20000
56,a_004,0,2.0,0.2563000023365021,20000
56,a_010,0,2.0,0.3747499883174896,20000
56,a_012,1,2.0,0.345550000667572,20000
56,a_1a,0,2.0,0.17009998857975006,20000
56,a_3a,0,2.0,0.3088499903678894,20000
56,a_5b,1,2.0,0.31189998984336853,20000
57,a_001,1,1.0,0.7898499965667725,20000
57,a_003,0,1.0,0.6633999943733215,20000
57,a_2b,0,1.0,0.8065999746322632,20000
57,a_3a,0,1.0,0.8543499708175659,20000
57,a_3b,0,1.0,0.8603499531745911,20000
57,a_4a,1,1.0,0.9174000024795532,20000
58,a_002,1,3.0,0.00014999999257270247,20000
58,a_004,0,3.0,0.0010999999940395355,20000
58,a_010,0,3.0,0.00024999998277053237,20000
58,a_2b,0,3.0,9.999999747378752e-05,20000
58,a_3a,0,3.0,0.00039999998989515007,20000
58,a_4b,1,3.0,4.999999873689376e-05,20000
59,a_003,0,1.0,0.0037999998312443495,20000
59,a_004,0,1.0,0.011099999770522118,20000
59,a_012,1,1.0,0.0023499999660998583,20000
59,a_2a,0,1.0,0.0017499999376013875,20000
59,a_3a,0,1.0,0.0022499999031424522,20000
59,a_4b,1,1.0,0.0008499999530613422,20000
60,a_002,1,0.0,0.8129499554634094,20000
60,a_009,0,0.0,0.8542499542236328,20000
60,a_011,0,0.0,0.776199996471405,20000
60,a_1a,0,0.0,0.4968999922275543,20000
60,a_2a,0,0.0,0.7264999747276306,20000
60,a_5a,1,0.0,0.7948499917984009,20000
61,a_003,0,0.0,0.4664999842643738,20000
61,a_009,0,0.0,0.7659499645233154,20000
61,a_010,0,0.0,0.5342499613761902,20000
61,a_3a,0,0.0,0.3504999876022339,20000
61,a_4b,1,0.0,0.39534997940063477,20000
61,a_5a,1,0.0,0.5893999934196472,20000
62,a_002,1,1.0,0.5252499580383301,20000
62,a_009,0,1.0,0.6480000019073486,20000
62,a_011,0,1.0,0.3727499842643738,20000
62,a_1a,0,1.0,0.44554999470710754,20000
62,a_2a,0,1.0,0.49364998936653137,20000
62,a_4a,1,1.0,0.6648499965667725,20000
63,a_011,0,,,20000
63,a_2b,0,,,20000
63,a_3a,0,,,20000
63,a_3b,0,,,20000
63,a_4a,1,,,20000
63,a_4b,1,,,20000
64,a_003,0,0.0,0.903249979019165,20000
64,a_009,0,0.0,0.9731499552726746,20000
64,a_011,0,0.0,0.9456999897956848,20000
64,a_012,1,0.0,0.9537999629974365,20000
64,a_3a,0,0.0,0.8979499936103821,20000
64,a_5a,1,0.0,0.9562000036239624,20000
65,a_004,0,2.0,0.46574997901916504,20000
65,a_009,0,2.0,0.889549970626831,20000
65,a_2b,0,2.0,0.6847999691963196,20000
65,a_3b,0,2.0,0.6645500063896179,20000
65,a_4a,1,2.0,0.7912999987602234,20000
65,a_5b,1,2.0,0.8084999918937683,20000
66,a_006,0,3.0,0.9080999493598938,20000
66,a_007,1,3.0,0.916700005531311,20000
66,a_012,1,3.0,0.8930000066757202,20000
66,a_1a,0,3.0,0.8886999487876892,20000
66,a_2a,0,3.0,0.9365999698638916,20000
66,a_3a,0,3.0,0.9064499735832214,20000
67,a_009,0,0.0,0.9201499819755554,20000
67,a_011,0,0.0,0.8411499857902527,20000
67,a_3a,0,0.0,0.8679499626159668,20000
67,a_3b,0,0.0,0.8677999973297119,20000
67,a_4b,1,0.0,0.8634999990463257,20000
67,a_5a,1,0.0,0.9291999936103821,20000
68,a_002,1,2.0,0.528499960899353,20000
68,a_003,0,2.0,0.19200000166893005,20000
68,a_006,0,2.0,0.4398999810218811,20000
68,a_010,0,2.0,0.37814998626708984,20000
68,a_2a,0,2.0,0.32179999351501465,20000
68,a_4a,1,2.0,0.4437499940395355,20000
69,a_001,1,1.0,0.4098999798297882,20000
69,a_002,1,1.0,0.5388500094413757,20000
69,a_003,0,1.0,0.5530499815940857,20000
69,a_010,0,1.0,0.3673499822616577,20000
69,a_011,0,1.0,0.7382000088691711,20000
69,a_3a,0,1.0,0.3621000051498413,20000
70,a_001,1,0.0,0.00019999999494757503,20000
70,a_011,0,0.0,0.00029999998514540493,20000
70,a_2a,0,0.0,0.00024999998277053237,20000
70,a_3a,0,0.0,4.999999873689376e-05,20000
70,a_3b,0,0.0,4.999999873689376e-05,20000
70,a_4a,1,0.0,4.999999873689376e-05,20000
71,a_004,0,0.0,0.9478999972343445,20000
71,a_005,1,0.0,0.9518499970436096,20000
71,a_007,1,0.0,0.9378999471664429,20000
71,a_011,0,0.0,0.9450500011444092,20000
71,a_1a,0,0.0,0.8644999861717224,20000
71,a_3b,0,0.0,0.902999997138977,20000
72,a_004,0,0.0,0.0010499999625608325,20000
72,a_005,1,0.0,0.0011500000255182385,20000
72,a_2a,0,0.0,0.0003499999875202775,20000
72,a_2b,0,0.0,0.00019999999494757503,20000
72,a_3b,0,0.0,0.0006500000017695129,20000
72,a_4b,1,0.0,0.0005499999970197678,20000
73,a_001,1,1.0,0.6855999827384949,20000
73,a_003,0,1.0,0.7640500068664551,20000
73,a_011,0,1.0,0.8806999921798706,20000
73,a_2b,0,1.0,0.6636999845504761,20000
73,a_3b,0,1.0,0.7622999548912048,20000
73,a_5a,1,1.0,0.8425499796867371,20000
74,a_001,1,3.0,0.00014999999257270247,20000
74,a_003,0,3.0,0.00014999999257270247,20000
74,a_009,0,3.0,4.999999873689376e-05,20000
74,a_012,1,3.0,9.999999747378752e-05,20000
74,a_1a,0,3.0,0.0,20000
74,a_2a,0,3.0,0.0,20000
75,a_004,0,,,20000
75,a_005,1,,,20000
75,a_007,1,,,20000
75,a_1a,0,,,20000
75,a_2a,0,,,20000
75,a_2b,0,,,20000
76,a_009,0,3.0,0.9652499556541443,20000
76,a_011,0,3.0,0.9454999566078186,20000
76,a_1a,0,3.0,0.8449999690055847,20000
76,a_3a,0,3.0,0.9213500022888184,20000
76,a_4a,1,3.0,0.9409999847412109,20000
76,a_5b,1,3.0,0.9664499759674072,20000
77,a_001,1,1.0,0.2373499870300293,20000
77,a_006,0,1.0,0.187950000166893,20000
77,a_011,0,1.0,0.05769999697804451,20000
77,a_3a,0,1.0,0.08604999631643295,20000
77,a_3b,0,1.0,0.07440000027418137,20000
77,a_4a,1,1.0,0.05289999768137932,20000
78,a_002,1,1.0,0.526199996471405,20000
78,a_003,0,1.0,0.26569998264312744,20000
78,a_009,0,1.0,0.5918499827384949,20000
78,a_012,1,1.0,0.32109999656677246,20000
78,a_2b,0,1.0,0.34869998693466187,20000
78,a_3b,0,1.0,0.4652999937534332,20000
79,a_002,1,3.0,0.08669999986886978,20000
79,a_004,0,3.0,0.12494999915361404,20000
79,a_011,0,3.0,0.19144999980926514,20000
79,a_2b,0,3.0,0.05790000036358833,20000
79,a_3a,0,3.0,0.09549999982118607,20000
79,a_5a,1,3.0,0.11544999480247498,20000
80,a_007,1,0.0,0.4608999788761139,20000
80,a_009,0,0.0,0.6344499588012695,20000
80,a_011,0,0.0,0.5052499771118164,20000
80,a_2a,0,0.0,0.5362499952316284,20000
80,a_3b,0,0.0,0.5432499647140503,20000
80,a_5a,1,0.0,0.6157000064849854,20000
81,a_003,0,0.0,0.8658499717712402,20000
81,a_004,0,0.0,0.8174999952316284,20000
81,a_007,1,0.0,0.8324499726295471,20000
81,a_009,0,0.0,0.9539499878883362,20000
81,a_011,0,0.0,0.8907999992370605,20000
81,a_5b,1,0.0,0.8922500014305115,20000
82,a_009,0,1.0,0.8964999914169312,20000
82,a_011,0,1.0,0.73785001039505,20000
82,a_1a,0,1.0,0.7116000056266785,20000
82,a_3b,0,1.0,0.772849977016449,20000
82,a_4a,1,1.0,0.8611499667167664,20000
82,a_5b,1,1.0,0.8265500068664551,20000
83,a_004,0,1.0,0.6502499580383301,20000
83,a_012,1,1.0,0.689300000667572,20000
83,a_2a,0,1.0,0.6611999869346619,20000
83,a_2b,0,1.0,0.7351999878883362,20000
83,a_3b,0,1.0,0.6139000058174133,20000
83,a_5a,1,1.0,0.6852999925613403,20000
84,a_002,1,3.0,0.9047499895095825,20000
84,a_006,0,3.0,0.8848499655723572,20000
84,a_009,0,3.0,0.9469499588012695,20000
84,a_010,0,3.0,0.8491999506950378,20000
84,a_012,1,3.0,0.8693999648094177,20000
84,a_2a,0,3.0,0.9248499870300293,20000
85,a_003,0,0.0,0.09589999914169312,20000
85,a_004,0,0.0,0.10154999792575836,20000
85,a_2a,0,0.0,0.12079999595880508,20000
85,a_3b,0,0.0,0.08289999514818192,20000
85,a_4b,1,0.0,0.11574999988079071,20000
85,a_5b,1,0.0,0.05779999867081642,20000
86,a_002,1,2.0,0.8603999614715576,20000
86,a_010,0,2.0,0.8824999928474426,20000
86,a_011,0,2.0,0.8355499505996704,20000
86,a_1a,0,2.0,0.7837499976158142,20000
86,a_3a,0,2.0,0.8493499755859375,20000
86,a_4b,1,2.0,0.8470999598503113,20000
87,a_001,1,0.0,0.4539499878883362,20000
87,a_004,0,0.0,0.13955000042915344,20000
87,a_006,0,0.0,0.29784998297691345,20000
87,a_009,0,0.0,0.5428000092506409,20000
87,a_2b,0,0.0,0.2775000035762787,20000
87,a_4b,1,0.0,0.5800999999046326,20000
88,a_001,1,4.0,0.021399999037384987,20000
88,a_004,0,4.0,0.023349998518824577,20000
88,a_010,0,4.0,0.008700000122189522,20000
88,a_1a,0,4.0,0.01599999889731407,20000
88,a_2a,0,4.0,0.012249999679625034,20000
88,a_4b,1,4.0,0.024650000035762787,20000
89,a_009,0,0.0,0.9605499505996704,20000
89,a_010,0,0.0,0.9822999835014343,20000
89,a_011,0,0.0,0.8506499528884888,20000
89,a_3a,0,0.0,0.8312499523162842,20000
89,a_4b,1,0.0,0.7916499972343445,20000
89,a_5b,1,0.0,0.9398499727249146,20000
90,a_001,1,0.0,0.9777999520301819,20000
90,a_003,0,0.0,0.7991499900817871,20000
90,a_004,0,0.0,0.8157999515533447,20000
90,a_009,0,0.0,0.9645999670028687,20000
90,a_3b,0,0.0,0.8495999574661255,20000
90,a_4a,1,0.0,0.9157999753952026,20000
91,a_002,1,0.0,0.8946999907493591,20000
91,a_004,0,0.0,0.8154999613761902,20000
91,a_012,1,0.0,0.7717999815940857,20000
91,a_1a,0,0.0,0.8561999797821045,20000
91,a_2b,0,0.0,0.8942499756813049,20000
91,a_3b,0,0.0,0.883650004863739,20000
92,a_003,0,1.0,0.23694999516010284,20000
92,a_004,0,1.0,0.37619999051094055,20000
92,a_006,0,1.0,0.5501999855041504,20000
92,a_1a,0,1.0,0.24334999918937683,20000
92,a_4b,1,1.0,0.27649998664855957,20000
92,a_5b,1,1.0,0.42934998869895935,20000
93,a_006,0,4.0,0.8710999488830566,20000
93,a_009,0,4.0,0.9150999784469604,20000
93,a_010,0,4.0,0.8773999810218811,20000
93,a_012,1,4.0,0.8517499566078186,20000
93,a_3a,0,4.0,0.9162499904632568,20000
93,a_5a,1,4.0,0.9374499917030334,20000
94,a_012,1,3.0,0.7545499801635742,20000
94,a_1a,0,3.0,0.49764999747276306,20000
94,a_2a,0,3.0,0.8276000022888184,20000
94,a_2b,0,3.0,0.8935499787330627,20000
94,a_3b,0,3.0,0.7780999541282654,20000
94,a_5a,1,3.0,0.8333500027656555,20000
95,a_004,0,2.0,0.33684998750686646,20000
95,a_009,0,2.0,0.70660001039505,20000
95,a_1a,0,2.0,0.4242499768733978,20000
95,a_2a,0,2.0,0.5802499651908875,20000
95,a_4a,1,2.0,0.5594499707221985,20000
