split_id,inner_fold,filter_id,alpha
21,0,1,0.009901621378958225
21,0,2,0.009325118735432625
22,2,0,0.011157205328345299
22,2,1,0.00816991925239563
22,2,2,0.010436130687594414
23,0,0,0.010727280750870705
23,0,1,0.00879440363496542
23,0,2,0.017012933269143105
23,0,3,0.010301598347723484
24,0,0,0.00863732397556305
24,0,1,0.009795274585485458
24,0,2,0.008092719130218029
24,0,3,0.010081474669277668
24,0,4,0.007637167349457741
25,2,0,0.007173444610089064
25,2,1,0.009750689379870892
25,2,2,0.00870663020759821
25,2,3,0.011857980862259865
25,2,4,0.009379267692565918
26,1,0,0.009076142683625221
26,1,1,0.00894655380398035
26,1,2,0.008874902501702309
27,0,0,0.010603649541735649
27,0,1,0.009101536124944687
27,0,2,0.007746636401861906
27,0,3,0.010583273135125637
27,0,4,0.008162612095475197
28,0,0,0.007441434543579817
28,0,1,0.008393515832722187
28,0,2,0.00872595701366663
28,0,3,0.007565665058791637
29,2,0,0.009450019337236881
29,2,1,0.010797964408993721
29,2,2,0.008908916264772415
29,2,3,0.010425906628370285
29,2,4,0.008879370056092739
30,1,0,0.00873636920005083
30,1,1,0.009405788965523243
30,1,2,0.008203339762985706
30,1,3,0.009347082115709782
30,1,4,0.008891788311302662
31,0,0,0.01085698138922453
31,0,1,0.0076561882160604
31,0,2,0.008746984414756298
31,0,3,0.00899242889136076
31,0,4,0.009181028231978416
32,0,0,0.008909539319574833
32,0,1,0.00980446022003889
32,0,2,0.01017154473811388
32,0,3,0.009977920912206173
33,0,0,0.00981955323368311
33,0,1,0.011264863424003124
33,0,2,0.010936837643384933
34,2,0,0.007646688725799322
34,2,1,0.008240359835326672
34,2,2,0.008428110741078854
35,1,0,0.00885701086372137
35,1,1,0.008638675324618816
35,1,2,0.010732028633356094
35,1,3,0.00820141937583685
35,1,4,0.010537947528064251
36,0,0,0.008569885045289993
36,0,1,0.008956093341112137
36,0,2,0.009229213930666447
36,0,3,0.009216716513037682
36,0,4,0.009201424196362495
37,2,0,0.008742569014430046
37,2,1,0.00860675424337387
37,2,2,0.007863895036280155
37,2,3,0.011039179749786854
37,2,4,0.009301796555519104
38,2,0,0.011436734348535538
38,2,1,0.009476457722485065
38,2,2,0.009084350429475307
39,2,0,0.009201767854392529
39,2,1,0.010392192751169205
39,2,2,0.009394249878823757
40,1,0,0.01076356228441
40,1,1,0.010768036358058453
40,1,2,0.00804532878100872
40,1,3,0.00809070561081171
40,1,4,0.010931313969194889
41,1,0,0.01004879642277956
41,1,1,0.010100685060024261
41,1,2,0.010265403427183628
41,1,3,0.010154247283935547
41,1,4,0.010147232562303543
42,2,0,0.010629840195178986
42,2,1,0.009065928868949413
42,2,2,0.01080244779586792
42,2,3,0.007101153489202261
43,0,0,0.010310577228665352
43,0,1,0.0069151027128100395
43,0,2,0.008469386957585812
44,0,0,0.009578683413565159
44,0,1,0.010031218640506268
44,0,2,0.008116424083709717
44,0,3,0.008680650033056736
44,0,4,0.008308722637593746
45,2,0,0.010049114003777504
45,2,1,0.008609778247773647
45,2,2,0.009709383361041546
45,2,3,0.009201128967106342
45,2,4,0.013825953006744385
46,2,0,0.01064581423997879
46,2,1,0.009891856461763382
46,2,2,0.010721704922616482
46,2,3,0.008713814429938793
47,2,0,0.01036791130900383
47,2,1,0.010651737451553345
47,2,2,0.01233979593962431
47,2,3,0.008463922888040543
47,2,4,0.009976893663406372
48,0,0,0.011698642745614052
48,0,1,0.007656130939722061
48,0,2,0.010450894013047218
49,1,0,0.010384133085608482
49,1,1,0.008631592616438866
49,1,2,0.007946868427097797
49,1,3,0.009398132562637329
49,1,4,0.009706414304673672
