model,kind,fpr,mean_tpr,mean_split_auc,n_splits
cellcnn,network,0.8140000000000001,0.965,0.8075,100
cellcnn,network,0.8160000000000001,0.965,0.8075,100
cellcnn,network,0.8180000000000001,0.965,0.8075,100
cellcnn,network,0.8200000000000001,0.965,0.8075,100
cellcnn,network,0.8220000000000001,0.965,0.8075,100
cellcnn,network,0.8240000000000001,0.965,0.8075,100
cellcnn,network,0.8260000000000001,0.965,0.8075,100
cellcnn,network,0.8280000000000001,0.965,0.8075,100
cellcnn,network,0.8300000000000001,0.965,0.8075,100
cellcnn,network,0.8320000000000001,0.965,0.8075,100
cellcnn,network,0.834,0.965,0.8075,100
cellcnn,network,0.836,0.965,0.8075,100
cellcnn,network,0.838,0.965,0.8075,100
cellcnn,network,0.84,0.965,0.8075,100
cellcnn,network,0.842,0.965,0.8075,100
cellcnn,network,0.844,0.965,0.8075,100
cellcnn,network,0.846,0.965,0.8075,100
cellcnn,network,0.848,0.965,0.8075,100
cellcnn,network,0.85,0.965,0.8075,100
cellcnn,network,0.852,0.965,0.8075,100
cellcnn,network,0.854,0.965,0.8075,100
cellcnn,network,0.856,0.965,0.8075,100
cellcnn,network,0.858,0.965,0.8075,100
cellcnn,network,0.86,0.965,0.8075,100
cellcnn,network,0.862,0.965,0.8075,100
cellcnn,network,0.864,0.965,0.8075,100
cellcnn,network,0.866,0.965,0.8075,100
cellcnn,network,0.868,0.965,0.8075,100
cellcnn,network,0.87,0.965,0.8075,100
cellcnn,network,0.872,0.965,0.8075,100
cellcnn,network,0.874,0.965,0.8075,100
cellcnn,network,0.876,0.965,0.8075,100
cellcnn,network,0.878,0.965,0.8075,100
cellcnn,network,0.88,0.965,0.8075,100
cellcnn,network,0.882,0.965,0.8075,100
cellcnn,network,0.884,0.965,0.8075,100
cellcnn,network,0.886,0.965,0.8075,100
cellcnn,network,0.888,0.965,0.8075,100
cellcnn,network,0.89,0.965,0.8075,100
cellcnn,network,0.892,0.965,0.8075,100
cellcnn,network,0.894,0.965,0.8075,100
cellcnn,network,0.896,0.965,0.8075,100
cellcnn,network,0.898,0.965,0.8075,100
cellcnn,network,0.9,0.965,0.8075,100
cellcnn,network,0.902,0.965,0.8075,100
cellcnn,network,0.904,0.965,0.8075,100
cellcnn,network,0.906,0.965,0.8075,100
cellcnn,network,0.908,0.965,0.8075,100
cellcnn,network,0.91,0.965,0.8075,100
cellcnn,network,0.912,0.965,0.8075,100
cellcnn,network,0.914,0.965,0.8075,100
cellcnn,network,0.916,0.965,0.8075,100
cellcnn,network,0.918,0.965,0.8075,100
cellcnn,network,0.92,0.965,0.8075,100
cellcnn,network,0.922,0.965,0.8075,100
cellcnn,network,0.924,0.965,0.8075,100
cellcnn,network,0.926,0.965,0.8075,100
cellcnn,network,0.928,0.965,0.8075,100
cellcnn,network,0.93,0.965,0.8075,100
cellcnn,network,0.932,0.965,0.8075,100
cellcnn,network,0.934,0.965,0.8075,100
cellcnn,network,0.936,0.965,0.8075,100
cellcnn,network,0.9380000000000001,0.965,0.8075,100
cellcnn,network,0.9400000000000001,0.965,0.8075,100
cellcnn,network,0.9420000000000001,0.965,0.8075,100
cellcnn,network,0.9440000000000001,0.965,0.8075,100
cellcnn,network,0.9460000000000001,0.965,0.8075,100
cellcnn,network,0.9480000000000001,0.965,0.8075,100
cellcnn,network,0.9500000000000001,0.965,0.8075,100
cellcnn,network,0.9520000000000001,0.965,0.8075,100
cellcnn,network,0.9540000000000001,0.965,0.8075,100
cellcnn,network,0.9560000000000001,0.965,0.8075,100
cellcnn,network,0.9580000000000001,0.965,0.8075,100
cellcnn,network,0.96,0.965,0.8075,100
cellcnn,network,0.962,0.965,0.8075,100
cellcnn,network,0.964,0.965,0.8075,100
cellcnn,network,0.966,0.965,0.8075,100
cellcnn,network,0.968,0.965,0.8075,100
cellcnn,network,0.97,0.965,0.8075,100
cellcnn,network,0.972,0.965,0.8075,100
cellcnn,network,0.974,0.965,0.8075,100
cellcnn,network,0.976,0.965,0.8075,100
cellcnn,network,0.978,0.965,0.8075,100
cellcnn,network,0.98,0.965,0.8075,100
cellcnn,network,0.982,0.965,0.8075,100
cellcnn,network,0.984,0.965,0.8075,100
cellcnn,network,0.986,0.965,0.8075,100
cellcnn,network,0.988,0.965,0.8075,100
cellcnn,network,0.99,0.965,0.8075,100
cellcnn,network,0.992,0.965,0.8075,100
cellcnn,network,0.994,0.965,0.8075,100
cellcnn,network,0.996,0.965,0.8075,100
cellcnn,network,0.998,0.965,0.8075,100
cellcnn,network,1.0,1.0,0.8075,100
cellcnn,frequency,0.0,0.6632653061224489,0.8558673469387755,98
cellcnn,frequency,0.002,0.6633061224489795,0.8558673469387755,98
cellcnn,frequency,0.004,0.6633469387755102,0.8558673469387755,98
cellcnn,frequency,0.006,0.6633877551020408,0.8558673469387755,98
cellcnn,frequency,0.008,0.6634285714285714,0.8558673469387755,98
cellcnn,frequency,0.01,0.663469387755102,0.8558673469387755,98
cellcnn,frequency,0.012,0.6635102040816326,0.8558673469387755,98
cellcnn,frequency,0.014,0.6635510204081632,0.8558673469387755,98
cellcnn,frequency,0.016,0.6635918367346938,0.8558673469387755,98
cellcnn,frequency,0.018000000000000002,0.6636326530612245,0.8558673469387755,98
cellcnn,frequency,0.02,0.6636734693877551,0.8558673469387755,98
cellcnn,frequency,0.022,0.6637142857142857,0.8558673469387755,98
cellcnn,frequency,0.024,0.6637551020408163,0.8558673469387755,98
cellcnn,frequency,0.026000000000000002,0.6637959183673469,0.8558673469387755,98
cellcnn,frequency,0.028,0.6638367346938775,0.8558673469387755,98
cellcnn,frequency,0.03,0.6638775510204082,0.8558673469387755,98
cellcnn,frequency,0.032,0.6639183673469387,0.8558673469387755,98
cellcnn,frequency,0.034,0.6639591836734694,0.8558673469387755,98
cellcnn,frequency,0.036000000000000004,0.664,0.8558673469387755,98
cellcnn,frequency,0.038,0.6640408163265306,0.8558673469387755,98
cellcnn,frequency,0.04,0.6640816326530612,0.8558673469387755,98
cellcnn,frequency,0.042,0.6641224489795918,0.8558673469387755,98
cellcnn,frequency,0.044,0.6641632653061224,0.8558673469387755,98
cellcnn,frequency,0.046,0.6642040816326531,0.8558673469387755,98
cellcnn,frequency,0.048,0.6642448979591837,0.8558673469387755,98
cellcnn,frequency,0.05,0.6642857142857143,0.8558673469387755,98
cellcnn,frequency,0.052000000000000005,0.6643265306122449,0.8558673469387755,98
cellcnn,frequency,0.054,0.6643673469387755,0.8558673469387755,98
cellcnn,frequency,0.056,0.664408163265306,0.8558673469387755,98
cellcnn,frequency,0.058,0.6644489795918367,0.8558673469387755,98
cellcnn,frequency,0.06,0.6644897959183674,0.8558673469387755,98
cellcnn,frequency,0.062,0.664530612244898,0.8558673469387755,98
cellcnn,frequency,0.064,0.6645714285714286,0.8558673469387755,98
cellcnn,frequency,0.066,0.6646122448979592,0.8558673469387755,98
cellcnn,frequency,0.068,0.6646530612244897,0.8558673469387755,98
cellcnn,frequency,0.07,0.6646938775510204,0.8558673469387755,98
cellcnn,frequency,0.07200000000000001,0.6647346938775511,0.8558673469387755,98
cellcnn,frequency,0.074,0.6647755102040815,0.8558673469387755,98
cellcnn,frequency,0.076,0.6648163265306123,0.8558673469387755,98
cellcnn,frequency,0.078,0.6648571428571429,0.8558673469387755,98
cellcnn,frequency,0.08,0.6648979591836734,0.8558673469387755,98
cellcnn,frequency,0.082,0.6649387755102041,0.8558673469387755,98
cellcnn,frequency,0.084,0.6649795918367347,0.8558673469387755,98
cellcnn,frequency,0.08600000000000001,0.6650204081632652,0.8558673469387755,98
cellcnn,frequency,0.088,0.665061224489796,0.8558673469387755,98
cellcnn,frequency,0.09,0.6651020408163266,0.8558673469387755,98
cellcnn,frequency,0.092,0.6651428571428571,0.8558673469387755,98
cellcnn,frequency,0.094,0.6651836734693878,0.8558673469387755,98
cellcnn,frequency,0.096,0.6652244897959184,0.8558673469387755,98
cellcnn,frequency,0.098,0.6652653061224489,0.8558673469387755,98
cellcnn,frequency,0.1,0.6653061224489796,0.8558673469387755,98
cellcnn,frequency,0.10200000000000001,0.6653469387755103,0.8558673469387755,98
cellcnn,frequency,0.10400000000000001,0.6653877551020408,0.8558673469387755,98
cellcnn,frequency,0.106,0.6654285714285715,0.8558673469387755,98
cellcnn,frequency,0.108,0.6654693877551021,0.8558673469387755,98
cellcnn,frequency,0.11,0.6655102040816326,0.8558673469387755,98
cellcnn,frequency,0.112,0.6655510204081633,0.8558673469387755,98
cellcnn,frequency,0.114,0.665591836734694,0.8558673469387755,98
