model,split_id,network_auc_delta,frequency_auc_delta
prototype_soft,30,0.125,0.125
prototype_soft,31,-0.25,-0.125
prototype_soft,32,-0.125,0.0
prototype_soft,33,-0.25,-0.125
prototype_soft,34,-0.125,-0.25
prototype_soft,35,0.0,-0.125
prototype_soft,36,-0.25,-0.25
prototype_soft,37,-0.5,-0.75
prototype_soft,38,0.625,0.625
prototype_soft,39,-0.125,-0.375
prototype_soft,40,-0.375,-0.625
prototype_soft,41,0.0,-0.0625
prototype_soft,42,-0.375,0.0
prototype_soft,43,0.0,-0.125
prototype_soft,44,0.5,
prototype_soft,45,-0.75,-0.5
prototype_soft,46,-0.25,-0.4375
prototype_soft,47,0.0,-0.125
prototype_soft,48,0.125,-0.5
prototype_soft,49,-0.125,0.125
prototype_soft,50,-0.125,-0.25
prototype_soft,51,0.0,0.0
prototype_soft,52,0.0,-0.0625
prototype_soft,53,0.0,0.0
prototype_soft,54,0.5,0.375
prototype_soft,55,-0.25,0.0
prototype_soft,56,-0.25,-0.375
prototype_soft,57,0.0,0.0
prototype_soft,58,-0.375,0.0
prototype_soft,59,-0.625,-0.625
prototype_soft,60,0.125,-0.125
prototype_soft,61,0.125,-0.1875
prototype_soft,62,-0.25,-0.125
prototype_soft,63,0.125,0.0625
prototype_soft,64,0.125,-0.25
prototype_soft,65,-0.375,-0.6875
prototype_soft,66,-0.25,-0.625
prototype_soft,67,0.125,0.0
prototype_soft,68,0.0,0.25
prototype_soft,69,0.0,0.1875
prototype_soft,70,0.0,0.125
prototype_soft,71,-0.375,-0.125
prototype_soft,72,0.125,0.0
prototype_soft,73,0.125,0.125
prototype_soft,74,0.25,0.25
prototype_soft,75,-0.375,0.0625
prototype_soft,76,-0.25,-0.25
prototype_soft,77,-0.375,-0.25
prototype_soft,78,-0.25,-0.5
prototype_soft,79,-0.125,-0.1875
prototype_soft,80,-0.375,-0.125
prototype_soft,81,0.0,-0.625
prototype_soft,82,-0.375,-0.5625
prototype_soft,83,0.0,0.0
prototype_soft,84,0.0,
prototype_soft,85,0.25,-0.625
prototype_soft,86,0.0,-0.0625
prototype_soft,87,-0.125,0.0
prototype_soft,88,-0.25,0.0
prototype_soft,89,0.125,0.0
prototype_soft,90,0.0,0.0
prototype_soft,91,0.0,-0.0625
prototype_soft,92,-0.25,-0.25
prototype_soft,93,-0.125,0.1875
prototype_soft,94,0.5,0.5
prototype_soft,95,0.0,-0.25
prototype_soft,96,0.25,-0.625
prototype_soft,97,0.25,0.1875
prototype_soft,98,0.125,-0.125
prototype_soft,99,0.125,-0.125
