split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available,model,common_frequency_split
63,1.0,1.0,1.0,0.6875,0.000125,True,prototype_soft,True
64,1.0,1.0,0.625,0.75,0.005050000000000001,True,prototype_soft,True
65,0.625,0.7,0.75,0.3125,-0.0014375000000000004,True,prototype_soft,True
66,0.75,0.5833333333333333,0.625,0.375,-0.00017500000000000003,True,prototype_soft,True
67,1.0,1.0,0.875,1.0,0.003725,True,prototype_soft,True
68,0.75,0.75,0.75,0.875,0.0021249999999999997,True,prototype_soft,True
69,0.75,0.75,0.5,0.875,0.007975,True,prototype_soft,True
70,0.625,0.7,0.375,0.75,0.0005000000000000002,True,prototype_soft,True
71,0.375,0.3666666666666667,0.5,0.75,-0.0006375,True,prototype_soft,True
72,1.0,1.0,1.0,1.0,0.011975,True,prototype_soft,True
73,0.875,0.8333333333333333,0.75,0.875,0.0044875,True,prototype_soft,True
74,0.75,0.75,0.625,0.875,0.0017625,True,prototype_soft,True
75,0.5,0.45,0.5,0.9375,0.0070999999999999995,True,prototype_soft,True
76,0.75,0.75,0.625,0.75,0.002862500000000002,True,prototype_soft,True
77,0.5,0.41666666666666663,0.25,0.625,-0.000675,True,prototype_soft,True
78,0.75,0.5833333333333333,0.375,0.5,-0.0001625,True,prototype_soft,True
79,0.875,0.8333333333333333,0.875,0.8125,0.0020125,True,prototype_soft,True
80,0.25,0.3333333333333333,0.375,0.5,-0.0020749999999999996,True,prototype_soft,True
81,0.75,0.75,0.625,0.25,-0.0013124999999999999,True,prototype_soft,True
82,0.625,0.7,0.375,0.4375,0.00017500000000000068,True,prototype_soft,True
83,1.0,1.0,1.0,1.0,0.005325000000000001,True,prototype_soft,True
84,0.375,0.3666666666666667,0.375,0.25,-0.007187499999999999,True,prototype_soft,False
85,1.0,1.0,0.5,0.25,-2.5e-05,True,prototype_soft,True
86,1.0,1.0,0.75,0.9375,0.0002625,True,prototype_soft,True
87,0.625,0.5,0.625,0.875,0.0012374999999999999,True,prototype_soft,True
88,0.75,0.75,0.75,0.75,0.00021250000000000002,True,prototype_soft,True
89,1.0,1.0,0.75,1.0,0.0005125,True,prototype_soft,True
90,0.875,0.8333333333333333,0.875,0.75,0.00445,True,prototype_soft,True
91,0.75,0.5833333333333333,0.375,0.5,0.004175,True,prototype_soft,True
92,0.75,0.75,0.5,0.625,0.004037499999999999,True,prototype_soft,True
93,0.625,0.7,0.375,0.9375,0.0010125000000000002,True,prototype_soft,True
94,0.875,0.8333333333333333,0.875,0.875,0.00285,True,prototype_soft,True
95,1.0,1.0,0.75,0.75,0.005362499999999999,True,prototype_soft,True
96,0.5,0.6666666666666666,0.375,0.375,0.0032874999999999996,True,prototype_soft,True
97,0.875,0.8333333333333333,0.75,1.0,0.00605,True,prototype_soft,True
98,1.0,1.0,0.75,0.875,0.0030125000000000004,True,prototype_soft,True
99,1.0,1.0,0.875,0.875,0.0080375,True,prototype_soft,True
